,accident_id,acc_date,type,operator,registration,total_fatalities,total_occupants,aircraft_damage,phase,nature,depart_airport,destination_airport,location
0,ACC100,1972-01-07,Sud Aviation SE-210,Iberia,EC-ATV,104,104,Destroyed,Approach (APR),Domestic Scheduled Passenger,"Valencia Airport (VLC/LEVC), Spain","Ibiza Airport (IBZ/LEIB), Spain",ca 15 km W of Ibiza Airport (IBZ) (Spain)
2,ACC102,1972-02-01,VFW-Fokker 614,VFW-Fokker,D-BABA,1,3,Damaged beyond repair,Maneuvering (MNV),Test,"Bremen Airport (BRE/EDDW), Germany","Bremen Airport (BRE/EDDW), Germany",near Bremen Airport (BRE) (Germany)
9,ACC109,1972-05-04,Yakovlev YAK-40,Aeroflot,CCCP-87778,18,18,Destroyed,Approach (APR),Domestic Scheduled Passenger,"Irkutsk Airport (IKT/UIII), Russia","Bratsk Airport (BTK/UIBB), Russia","1,2 km (0.8 mls) from Bratsk Airport (BTK) (Russia)"
10,ACC110,1972-05-08,Douglas DC-3,Aerotécnica,YV-C-GAI,6,6,Damaged beyond repair,En route (ENR),Domestic Non Scheduled Passenger,"Ciudad Bolívar Airport (CBL/SVCB), Venezuela","La Centella, Venezuela",ca 150 km W of Ciudad Bolívar (Venezuela)
12,ACC112,1972-05-21,Fokker F-27,DTA-Direcção de Exploração dos Transp. Aéreos,CR-LLD,22,25,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,"Luanda Airport (LAD/FNLU), Angola","Lobito Airport (FNLB), Angola",3 km (1.9 mls) NW off Lobito Airport (Angola)
13,ACC113,1972-05-27,de Havilland Canada DHC-6,General Air,D-IDHC,8,13,Damaged beyond repair,Initial climb (ICL),Domestic Scheduled Passenger,"Helgoland Airfield (HGL/EDXH), Germany","Wangerooge Airfield (AGE/EDWG), Germany",Helgoland Airport (HGL) (Germany)
16,ACC116,1972-06-29,MBB HFB-320,Inter City Flug,D-CASY,7,8,Damaged beyond repair,Takeoff (TOF),Executive,"Blackpool Airport (BLK/EGNH), United Kingdom","Rotterdam Airport (RTM/EHRD), Netherlands",Blackpool Airport (BLK) (United Kingdom)
20,ACC120,1972-07-11,Antonov AN-2,Aeroflot,CCCP-98280,2,2,Damaged beyond repair,Initial climb (ICL),Cargo,"Okha Airport (OHH/UHSH), Russia","Tsimmermanovka Airstrip, Russia",Okha (Russia)
21,ACC121,1972-07-12,Boeing B-17,Black Hills Aviation,N73648,2,2,Damaged beyond repair,Maneuvering (MNV),Fire fighting,"Alamogordo Municipal Airport, NM (ALM/KALM), United States of America","Alamogordo Municipal Airport, NM (ALM/KALM), United States of America","Socorro, NM (United States of America)"
23,ACC123,1972-07-29,Douglas DC-3,Avianca,HK-1341,17,17,Destroyed,En route (ENR),Domestic Scheduled Passenger,"Villavicencio Airport (VVC/SKVV), Colombia","El Yopal Airport (EYP/SKYP), Colombia",near Las Palomas (Colombia)
27,ACC127,1972-08-27,Douglas DC-3,Linea Aeropostal Venezolana - LAV,YV-C-AKE,34,34,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,"Canaima Airport (CAJ/SVCN), Venezuela","Ciudad Bolívar Airport (CBL/SVCB), Venezuela",near Canaima Airport (CAJ) (Venezuela)
28,ACC128,1972-09-01,Shorts SC.7 Skyvan,Ansett Airlines of Papua New Guinea,VH-PNI,4,4,Destroyed,En route (ENR),Domestic Non Scheduled Passenger,"Minj Airport (MZN), Papua New Guinea","Mendi Airport (MDU/AYMN), Papua New Guinea",Mount Giluwe (Papua New Guinea)
29,ACC129,1972-09-10,Douglas DC-3,Ethiopian Airlines,ET-ABQ,11,11,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,"Axum Airport (AXU/HAAX), Ethiopia","Gondar Airport (GDQ/HAGN), Ethiopia",near Gondar (Ethiopia)
31,ACC131,1972-11-13,Antonov AN-2,Aeroflot,CCCP-09676,2,14,Damaged beyond repair,En route (ENR),Passenger,"Nazimovo Airstrip, Russia","Yeniseysk Airport (EIE/UNII), Russia",40 km (25 mls) NW of Yeniseisk (Russia)
32,ACC132,1972-11-17,Douglas DC-3,S & H Aviation Sales,CF-FOL,3,3,Damaged beyond repair,En route (ENR),Int'l Non Scheduled Passenger,"Keflavík International Airport (KEF/BIKF), Iceland","St. John's Airport, NL (YYT/CYYT), Canada","160 km (100 mls) E off St. Johns, NL, Canada (Atlantic Ocean)"
34,ACC134,1972-12-05,Boeing 707,EgyptAir,SU-AOW,6,6,Damaged beyond repair,En route (ENR),Training,"Cairo International Airport (CAI/HECA), Egypt","Cairo International Airport (CAI/HECA), Egypt",Beni Suef (Egypt)
35,ACC135,1972-12-08,Fokker F-27,Pakistan International Airlines - PIA,AP-AUS,26,26,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,"Gilgit Airport (GIL/OPGT), Pakistan","Rawalpindi (RWP), Pakistan",near Jalkot (Pakistan)
37,ACC137,1973-01-02,Boeing 707,Pacific Western Airlines,CF-PWZ,5,5,Destroyed,Approach (APR),Cargo,"Toronto International Airport, ON (YYZ/CYYZ), Canada","Edmonton International Airport, AB (YEG/CYEG), Canada","ca 3 km SE of Edmonton International Airport, AB (YEG) (Canada)"
38,ACC138,1973-01-21,Antonov AN-24,Aeroflot,CCCP-46276,39,39,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,"Kazan Airport, Russia","Perm Airport (PEE/USPP), Russia","near Petukhovo, Bolshesosnovsky district (Russia)"
39,ACC139,1973-01-29,Ilyushin IL-18,EgyptAir,SU-AOV,37,37,Damaged beyond repair,Approach (APR),International Scheduled Passenger,"Cairo International Airport (CAI/HECA), Egypt","Nicosia Airport (NIC/LCNC), Cyprus",ca 16 km NNE of Nicosia Airport (NIC) (Cyprus)
43,ACC143,1973-02-24,Ilyushin IL-18,Aeroflot,CCCP-75712,79,79,Destroyed,En route (ENR),Domestic Scheduled Passenger,"Dushanbe Airport (DYU/UTDD), Tajikistan","Leninabad Airport (LBD/UTDL), Tajikistan",40 km (25 mls) from Ura-Tube (Tajikistan)
44,ACC144,1973-02-28,Yakovlev YAK-40,Aeroflot,CCCP-87602,32,32,Destroyed,Takeoff (TOF),Domestic Scheduled Passenger,"Semipalatinsk Airport (PLX/UASS), Kazakhstan","Karaganda Airport (KGF/UAKK), Kazakhstan",Semipalatinsk Airport (PLX) (Kazakhstan)
45,ACC145,1973-02-28,de Havilland Canada DHC-6,Merpati Nusantara Airlines,PK-NUC,13,13,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,"Nabire Airport (NBX/WABI), Indonesia","Enarotali Airport (EWI/WABT), Indonesia",45 km (28.1 mls) E of Nabire (Indonesia)
48,ACC148,1973-03-09,Antonov AN-2,Aeroflot,CCCP-01262,3,3,Damaged beyond repair,En route (ENR),Ferry/positioning,"Elushkino Airstrip, Russia","Kondinskoye Airport (USHK), Russia",57 km (35.6 mls) W of Kondinskoye (Russia)
51,ACC151,1973-04-10,Vickers Vanguard,Invicta International Airways,G-AXOP,108,145,Destroyed,Approach (APR),Int'l Non Scheduled Passenger,"Bristol Airport (BRS/EGGD), United Kingdom","Basel/Mulhouse Airport (BSL/LFSB), France",15 km (9.4 mls) S of Basel/Mulhouse Airport (BSL) (Switzerland)
53,ACC153,1973-05-18,Tupolev TU-104,Aeroflot,CCCP-42379,81,81,Destroyed,En route (ENR),Domestic Scheduled Passenger,"Irkutsk Airport (IKT/UIII), Russia","Chita Airport (HTA/UIAA), Russia",97 km (60.6 mls) W of Chita (Russia)
54,ACC154,1973-06-09,Lockheed L-1049,Aircraft Specialties,N173W,3,3,Destroyed,Initial climb (ICL),Agricultural,"Casey, QC, Canada","Casey, QC, Canada","1,9 km (1.2 mls) SW of Casey Airport, QC (Canada)"
55,ACC155,1973-07-09,Tupolev TU-124,Aeroflot,CCCP-45062,2,61,Substantial,Initial climb (ICL),Domestic Scheduled Passenger,"Kuybyshev Airport (KUF/UWWW), Russia","Simferopol Airport (SIP/UKFF), Russia",near Kuybyshev Airport (KUF) (Russia)
57,ACC157,1973-07-12,Boeing B-17,Aircraft Specialities Corporation,N620L,2,2,Damaged beyond repair,Maneuvering (MNV),Fire fighting,"Elko Airport, NV (EKO/KEKO), United States of America","Elko Airport, NV (EKO/KEKO), United States of America","Eureka, NV (United States of America)"
59,ACC159,1973-09-11,Sud Aviation SE-210,Jugoslovenski Aerotransport - JAT,YU-AHD,41,41,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,"Skopje Airport (SKP/LWSK), North Macedonia","Titograd Airport (TGD/LYPG), Montenegro",ca 35 km N of Titograd (Montenegro)
60,ACC160,1973-09-29,Douglas DC-3,Aeronorte Industria e Comercio Ltda,PT-CEV,5,5,Damaged beyond repair,Initial climb (ICL),Domestic Non Scheduled Passenger,"Itaituba Airport, PA (ITB/SBIH), Brazil","Jacareacanga Airport, PA (JCR/SBEK), Brazil","Itaituba Airport, PA (ITB) (Brazil)"
61,ACC161,1973-10-02,Antonov AN-12,Aeroflot,CCCP-12967,10,10,Destroyed,Approach (APR),Cargo,"Yakutsk Airport (YKS/UEEE), Russia","Magadan Airport (GDX/UHMM), Russia","13,7 km (8.6 mls) ENE of Magadan (Russia)"
62,ACC162,1973-10-10,Lisunov LI-2,Aeroflot,CCCP-71209,5,5,Damaged beyond repair,Takeoff (TOF),Cargo,"Dasoguz Airport (TAZ/UTAT), Turkmenistan","Darvaza Airport, Turkmenistan",Tashauz Airport (TAZ) (Turkmenistan)
66,ACC166,1973-12-15,Lockheed L-1049,Aircraft Pool Leasing Corp.,N6917C,3,3,Damaged beyond repair,Initial climb (ICL),Cargo,"Miami International Airport, FL (MIA/KMIA), United States of America","Caracas Airport (CCS/SVMI), Venezuela","2 km (1.3 mls) E of Miami International Airport, FL (MIA) (United States of America)"
67,ACC167,1974-01-25,Antonov AN-24,Aeroflot,CCCP-46277,4,4,Destroyed,Initial climb (ICL),Ferry/positioning,"Rostov Airport (ROV/URRR), Russia","Ufa Airport (UFA/UWUU), Russia","1,75 km (1.1 mls) SW of Rostov Airport (ROV) (Russia)"
68,ACC168,1974-01-30,Boeing 707,Pan Am,N454PA,97,101,Destroyed,Approach (APR),International Scheduled Passenger,"Auckland International Airport (AKL/NZAA), New Zealand","Pago Pago International Airport (PPG/NSTU), American Samoa","1,2 km (0.8 mls) SW of Pago Pago International Airport (PPG) (American Samoa)"
69,ACC169,1974-02-20,Douglas C-54,Air Vietnam,XV-NUM,3,52,Damaged beyond repair,Standing (STD),Domestic Scheduled Passenger,"Qui Nhon Airport (UIH/VVQN), Vietnam","Da Nang Airport (DAD/VVDN), Vietnam",Hue Airport (HUI) (Vietnam)
70,ACC170,1974-02-22,Curtiss C-46,SAVCO - Servicios Aéreos Virgen de Copacabana,CP-1052,7,7,Damaged beyond repair,En route (ENR),Domestic Non Scheduled Passenger,"Trinidad Airport (TDD/SLTR), Bolivia","Oruro Airport (ORU/SLOR), Bolivia",8 km (5 mls) SW of San Francisco de Moxos (Bolivia)
71,ACC171,1974-02-27,North American Rockwell Sabreliner 40,Brethour Realty Services,CF-BRL,9,9,Damaged beyond repair,En route (ENR),Executive,"Keflavík International Airport (KEF/BIKF), Iceland","Frobisher Bay Airport, NU (YFB/CYFB), Canada","Newton Fiord, NU (Canada)"
72,ACC172,1974-03-22,Lisunov LI-2,Aeroflot,CCCP-73960,3,9,Damaged beyond repair,Initial climb (ICL),Domestic Scheduled Passenger,"Kirov Airport (KVX/USKK), Russia","Sovetsky Airport (OVS/USHS), Russia","0,5 km (0.3 mls) from Kirov Airport (KVX) (Russia)"
75,ACC175,1974-05-02,Yakovlev YAK-40,Aeroflot,CCCP-87398,1,38,Damaged beyond repair,Takeoff (TOF),Domestic Scheduled Passenger,"Rostov Airport (ROV/URRR), Russia","Mineralnye Vody Airport (MRV/URMM), Russia",Rostov Airport (ROV) (Russia)
76,ACC176,1974-06-12,Lockheed PV-2,Master Equipment Co.,N7263C,2,2,Destroyed,Maneuvering (MNV),Fire fighting,"White River Airport, AZ (WTR), United States of America","White River Airport, AZ (WTR), United States of America","near Winslow, AZ (United States of America)"
77,ACC177,1974-06-24,Grumman G-1159,IBM,N720Q,3,3,Destroyed,En route (ENR),Training,"Savannah International Airport, GA (SAV/KSAV), United States of America","Savannah International Airport, GA (SAV/KSAV), United States of America","near Kline, SC (United States of America)"
79,ACC179,1974-07-10,Tupolev TU-154,EgyptAir,SU-AXB,6,6,Damaged beyond repair,Initial climb (ICL),Training,"Cairo International Airport (CAI/HECA), Egypt","Cairo International Airport (CAI/HECA), Egypt",near Cairo (Egypt)
81,ACC181,1974-08-07,Martin 4-0-4,Aeroproveedora Proa,HK-1485,2,6,Damaged beyond repair,Approach (APR),Training,"Mariquita Airport (MQU/SKQU), Colombia","Mariquita Airport (MQU/SKQU), Colombia","0,5 km (0.3 mls) S of Mariquita Airport (MQU) (Colombia)"
82,ACC182,1974-08-11,Ilyushin IL-18,Air Mali,TZ-ABE,47,60,Damaged beyond repair,Approach (APR),Int'l Non Scheduled Passenger,"Bamako Airport (BKO/GABS), Mali","Niamey Airport (NIM/DRRN), Niger",Linoghin (Burkina Faso)
83,ACC183,1974-08-14,Vickers 749,Linea Aeropostal Venezolana - LAV,YV-C-AMX,48,48,Destroyed,Approach (APR),Domestic Scheduled Passenger,"Cumaná Airport (CUM/SVCU), Venezuela","Porlamar Airport (PMV/SVMG), Venezuela","5 km (3.1 mls) SW of Porlamar Airport, Isla Margarita (Venezuela)"
86,ACC186,1974-09-30,Grumman G-73,United States Department of Interior,N2965,4,4,Missing,En route (ENR),Survey/research,"Anchorage International Airport, AK (ANC/PANC), United States of America","Kodiak Airport, AK (ADQ/PADQ), United States of America",off Alaska (Pacific Ocean)
87,ACC187,1974-10-27,Lockheed L-100,Alaska International Air,N102AK,4,4,Damaged beyond repair,Approach (APR),Cargo,"Fairbanks International Airport, AK (FAI/PAFA), United States of America","Bettles Airport, AK (BTT/PABT), United States of America","near Old Man's Camp, AK (United States of America)"
88,ACC188,1974-10-30,Lockheed L-188,Panarctic Oils,CF-PAB,32,34,Destroyed,Approach (APR),Domestic Non Scheduled Passenger,"Edmonton International Airport, AB (YEG/CYEG), Canada","Rea Point Airfield, NT (YOX/CYOX), Canada","3 km (1.9 mls) S of Rea Point Airfield, NT (YOX) (Canada)"
89,ACC189,1974-11-20,Douglas DC-3,Ethiopian Airlines,ET-AAR,2,24,Damaged beyond repair,Takeoff (TOF),Domestic Scheduled Passenger,"Soddu Airport (SXU/HASD), Ethiopia","Beica Airport (BEI/HABE), Ethiopia",Soddu Airport (SXU) (Ethiopia)
90,ACC190,1974-11-20,Boeing 747,Lufthansa,D-ABYB,59,157,Destroyed,Takeoff (TOF),International Scheduled Passenger,"Nairobi International Airport (NBO/HKNA), Kenya","Johannesburg International Airport (JNB/FAJS), South Africa",Nairobi International Airport (NBO) (Kenya)
91,ACC191,1974-12-04,Antonov AN-2,Aeroflot,CCCP-49342,13,13,Destroyed,Initial climb (ICL),Domestic Scheduled Passenger,"Irkutsk Airport (IKT/UIII), Russia","Kazachinskoye Airport (UITK), Russia",Irkutsk Airport (IKT) (Russia)
94,ACC194,1974-12-14,Yakovlev YAK-40,Aeroflot,CCCP-87630,7,19,Destroyed,Takeoff (TOF),Domestic Scheduled Passenger,"Bukhara Airport (BHK/UTSB), Uzbekistan","Dushanbe Airport (DYU/UTDD), Tajikistan",Bukhara Airport (BHK) (Uzbekistan)
95,ACC195,1974-12-26,Britten-Norman BN-2,Harbor Airlines,N66HA,4,6,Damaged beyond repair,Initial climb (ICL),Domestic Scheduled Passenger,"Seattle/Tacoma International Airport, WA (SEA/KSEA), United States of America","Oak Harbor Airport, WA (ODW/KOKH), United States of America","ca 1 km N of Seattle/Tacoma International Airport, WA (SEA) (United States of America)"
96,ACC196,1974-12-26,Grumman American G-1159,Togo Government,5V-TAA,3,6,Damaged beyond repair,Approach (APR),Official state flight,"Niamey Airport (NIM/DRRN), Niger","Lome Airport (LFW/DXXX), Togo",Lome Airport (LFW) (Togo)
98,ACC198,1975-01-08,Douglas DC-3,SATENA,FAC-688,23,23,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,"Neiva Airport (NVA/SKNV), Colombia","Florencia Airport (FLA/SKFL), Colombia",near El Doncello (Colombia)
99,ACC199,1975-01-09,de Havilland Canada DHC-6,Golden West Airlines,N6383,12,12,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,"Ontario International Airport, CA (ONT/KONT), United States of America","Los Angeles International Airport, CA (LAX/KLAX), United States of America","Whittier, CA (United States of America)"
101,ACC201,1975-02-01,Howard Super Ventura,Ebco Manufacturing Co.,N234YU,2,2,Destroyed,En route (ENR),Executive,"Harrisburg International Airport, PA (MDT/KMDT), United States of America","Atlantic City International Airport, NJ (ACY/KACY), United States of America","Egg Harbor, NJ (United States of America)"
102,ACC202,1975-02-01,Douglas DC-3,Horizon Properties,N15HC,5,16,Damaged beyond repair,Approach (APR),Domestic Non Scheduled Passenger,"Lawton Municipal Airport, OK (LAW/KLAW), United States of America","Huntsville Airport, TX (HTV/KUTS), United States of America","Houston-Intercontinental Airport, TX (IAH) (United States of America)"
103,ACC203,1975-02-16,Douglas DC-6,Pacific Alaska Airlines,N77DG,3,3,Damaged beyond repair,Initial climb (ICL),Cargo,"Fairbanks International Airport, AK (FAI/PAFA), United States of America","Happy Valley Camp, AK, United States of America","2 km (1.3 mls) N of Fairbanks International Airport, AK (FAI) (United States of America)"
105,ACC205,1975-03-16,Fokker F-27,Lineas Aéreas del Estado - LADE,TC-72,52,52,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,"El Palomar Airport, BA (EPA/SADP), Argentina","San Carlos de Bariloche International Airport, RN (BRC/SAZS), Argentina","35 km (21.9 mls) E of San Carlos de Bariloche International Airport, RN (BRC) (Argentina)"
108,ACC208,1975-04-26,Beechcraft A100,"Stribling-Puckett, Inc",N700SP,6,9,Destroyed,Initial climb (ICL),Executive,"Hilton Head Airport, SC (HHH/KHXD), United States of America","Jackson Municipal Airport, MS (JAN/KJAN), United States of America","0,6 km (0.4 mls) NNE of Hilton Head Airport, SC (HHH) (United States of America)"
111,ACC211,1975-06-03,BAC One-Eleven,Philippine Air Lines,RP-C1184,1,64,Substantial,En route (ENR),Domestic Scheduled Passenger,"Legazpi Airport (LGP/RPLP), Philippines","Manila Airport (MNL/RPLL), Philippines",near Manila (Philippines)
115,ACC215,1975-08-09,Ilyushin IL-14,Aeroflot,CCCP-52056,11,11,Destroyed,Approach (APR),Domestic Non Scheduled Passenger,"Chita Airport (HTA/UIAA), Russia","Bagdarin Airport (UIUB), Russia",28 km (17.5 mls) from Bagdarin (Russia)
117,ACC217,1975-08-30,Fairchild F-27,Wien Air Alaska,N4904,10,32,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,"Nome Airport, AK (OME/PAOM), United States of America","Gambell Airport, AK (GAM/PAGM), United States of America","1 km (0.6 mls) E of Gambell Airport, AK (GAM) (United States of America)"
119,ACC219,1975-09-11,Douglas DC-3,Ethiopian Airlines,ET-ABX,1,9,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,"Bahar Dar Airport (BJR/HABD), Ethiopia","Debre Markos Airport (DBM/HADM), Ethiopia",near Mota (Ethiopia)
121,ACC221,1975-09-25,Douglas DC-3,Ilford Riverton Airways,CF-AII,3,3,Damaged beyond repair,Approach (APR),Domestic Non Scheduled Passenger,"Pickle Lake Airport, ON (YPL/CYPL), Canada","Fort Severn Airport, ON (YER/CYER), Canada","Fort Severn Airport, ON (YER) (Canada)"
123,ACC223,1975-09-30,de Havilland Canada DHC-6,Northern Thunderbird Air,CF-MHU,7,7,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,"Prince George Airport, BC (YXS/CYXS), Canada","Dease Lake Airport, BC (YDL/CYDL), Canada","Kluatantan region, BC (Canada)"
125,ACC225,1975-10-22,Yakovlev YAK-40,Aeroflot,CCCP-87458,6,6,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,"Vologda Airport (VGD/ULWW), Russia","Novgorod Airport (NVR/ULNN), Russia",near Novgorod Airport (NVR) (Russia)
126,ACC226,1975-10-23,de Havilland Canada DH-114,Connair,VH-CLS,11,11,Destroyed,Approach (APR),Domestic Scheduled Passenger,"Mount Isa Airport, QLD (ISA/YBMA), Australia","Cairns Airport, QLD (CNS/YBCS), Australia","3 km (1.9 mls) N of Cairns Airport, QLD (CNS) (Australia)"
129,ACC229,1975-11-20,Antonov AN-24,Aeroflot,CCCP-46349,19,50,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,"Rostov Airport (ROV/URRR), Russia","Kharkov Airport (HRK/UKHH), Ukraine",17 km (10.6 mls) W of Kharkov Airport (HRK) (Ukraine)
131,ACC231,1976-01-01,Boeing 720,Middle East Airlines - MEA,OD-AFT,81,81,Destroyed,En route (ENR),International Scheduled Passenger,"Beirut International Airport (BEY/OLBA), Lebanon","Dubai Airport (DXB/OMDB), United Arab Emirates",37 km (23.1 mls) NW of Al Qaysumah (Saudi Arabia)
132,ACC232,1976-01-27,Douglas DC-6,Aerotécnicos Asociados de México,XA-RIO,4,4,Damaged beyond repair,En route (ENR),Ferry/positioning,"Cozumel Airport (CZM/MMCZ), Mexico","Mexico City International Airport (MEX/MMMX), Mexico",25 km (15.6 mls) N of Cozumel Airport (CZM) (Mexico)
133,ACC233,1976-01-30,Ilyushin IL-18,Aeroflot,CCCP-75558,6,6,Damaged beyond repair,Approach (APR),Training,"Frunze Airport (FRU/UAFM), Kyrgyzstan","Frunze Airport (FRU/UAFM), Kyrgyzstan",near Frunze Airport (FRU) (Kyrgyzstan)
135,ACC235,1976-02-24,de Havilland Canada DHC-6,Gateway Aviation,CF-BQJ,2,3,Damaged beyond repair,Landing (LDG),Domestic Non Scheduled Passenger,"Port Radium, NT (CYIX), Canada","Yellowknife Airport, NT (YZF/CYZF), Canada","Yellowknife Airport, NT (YZF) (Canada)"
139,ACC239,1976-03-24,Ilyushin IL-14,Aeroflot,CCCP-61756,6,6,Damaged beyond repair,En route (ENR),"Aerial Work (Calibration, Photo)","Ashgabat Airport (ASB/UTAA), Turkmenistan","Ashgabat Airport (ASB/UTAA), Turkmenistan",53 km (33.1 mls) NE of Ashgabat Airport (ASB) (Turkmenistan)
140,ACC240,1976-04-05,Boeing 727,Alaska Airlines,N124AS,1,50,Destroyed,Landing (LDG),Domestic Scheduled Passenger,"Juneau International Airport, AK (JNU/PAJN), United States of America","Ketchikan International Airport, AK (KTN/PAKT), United States of America","Ketchikan International Airport, AK (KTN) (United States of America)"
141,ACC241,1976-04-14,Avro 748,Yacimientos Petroliferos Fiscales,LV-HHB,34,34,Destroyed,En route (ENR),Domestic Non Scheduled Passenger,"Rincón de Los Sauces Airport, NE (RDS/SAHS), Argentina","Cutral Airport, NE (CUT/SAZW), Argentina","35 km (21.9 mls) N of Cutral-Có , NE (Argentina)"
144,ACC244,1976-06-06,GAF Nomad N-22,Sabah Air,9M-ATZ,11,11,Destroyed,Approach (APR),Domestic Non Scheduled Passenger,"Labuan Airport (LBU/WBKL), Malaysia","Kota Kinabalu Airport (BKI/WBKK), Malaysia",3 km (1.9 mls) off Kota Kinabalu Airport (BKI) (Malaysia)
146,ACC246,1976-07-22,Volpar Turboliner II,Winship Air Services,N600WA,5,5,Destroyed,Approach (APR),Private,"Cold Bay Airport, AK (CDB/PACD), United States of America","Dutch Harbor NAS, AK (DUT/PADU), United States of America","near Dutch Harbor, AK (United States of America)"
147,ACC247,1976-08-06,GAF Nomad N-24,Government Aircraft Factories - GAF,[VH-SUZ],2,3,Destroyed,Initial climb (ICL),Test,"Avalon Airport, VIC (AVV/YMAV), Australia","Avalon Airport, VIC (AVV/YMAV), Australia","Avalon Airport, VIC (AVV) (Australia)"
150,ACC250,1976-09-04,de Havilland Canada DHC-3,Austin Airways,CF-MIT,10,10,Destroyed,En route (ENR),Domestic Non Scheduled Passenger,"Moosonee Airport, ON (YMO/CYMO), Canada","Timmins/Porcupine Lake Water Aerodrome, ON, Canada","Abitibi Canyon near Fraserdale, ON (Canada)"
152,ACC252,1976-09-08,Canadair CL-215,Ejército del Aire,UD.13-07,3,3,Destroyed,Maneuvering (MNV),Fire fighting,"Santiago de Compostela Airport (SCQ/LEST), Spain","Santiago de Compostela Airport (SCQ/LEST), Spain",ca 20 km N of Pontevedra (Spain)
153,ACC253,1976-09-09,Yakovlev YAK-40,Aeroflot,CCCP-87772,18,18,Destroyed,En route (ENR),Domestic Scheduled Passenger,"Rostov Airport (ROV/URRR), Russia","Kerch Airport (KHC/UKFK), Ukraine",37 km (23.1 mls) S off Anapa [Black Sea] (Russia)
154,ACC254,1976-09-09,Antonov AN-24,Aeroflot,CCCP-46518,52,52,Destroyed,En route (ENR),Domestic Scheduled Passenger,"Donetsk Airport (DOK/UKCC), Ukraine","Adler/Sochi Airport (AER/URSS), Russia",37 km (23.1 mls) S off Anapa [Black Sea] (Russia)
155,ACC255,1976-09-10,McDonnell Douglas DC-9,Inex-Adria Aviopromet,YU-AJR,113,113,Destroyed,En route (ENR),Int'l Non Scheduled Passenger,"Split Airport (SPU/LDSP), Croatia","Köln/Bonn Airport (CGN/EDDK), Germany",near Vrbovec (Croatia)
157,ACC257,1976-09-22,de Havilland Canada DHC-6,Airwest Airlines,C-FAWF,1,19,Damaged beyond repair,En route (ENR),Domestic Non Scheduled Passenger,"Bella Bella/Shearwater Water Aerodrome, BC (YSX), Canada","Babine Lake, BC, Canada","near Mosher Creek, BC (Canada)"
159,ACC259,1976-12-16,Yakovlev YAK-40,Aeroflot,CCCP-87638,5,5,Destroyed,Maneuvering (MNV),Training,"Zaporozhye Airport (OZH/UKDE), Ukraine","Zaporozhye Airport (OZH/UKDE), Ukraine",near Kazakovskoye (Ukraine)
160,ACC260,1976-12-30,Douglas C-54,Faucett Perú,OB-R-247,24,24,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,"Trujillo Airport (TRU/SPRU), Peru","Tarapoto Airport (TPP/SPST), Peru",27 km (16.9 mls) N of Trujillo Airport (TRU) (Peru)
162,ACC262,1977-01-14,de Havilland Canada DHC-6,Northern Thunderbird Air,C-GNTB,12,12,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,"Prince George Airport, BC (YXS/CYXS), Canada","Terrace Airport, BC (YXT/CYXT), Canada","3 km (1.9 mls) S of Terrace Airport, BC (YXT) (Canada)"
164,ACC264,1977-01-18,Learjet 25,Yugoslav Government,YU-BJH,8,8,Destroyed,Approach (APR),Official state flight,"Beograd Airport (BEG/LYBE), Serbia","Sarajevo Airport (SJJ/LQSA), Bosnia and Herzegovina",30 km (18.8 mls) W of Sarajevo Airport (SJJ) (Bosnia and Herzegovina)
166,ACC266,1977-01-31,Chase YC-122,TransNorthern Aviation,N5904V,1,3,Damaged beyond repair,Initial climb (ICL),Cargo,"Anchorage International Airport, AK (ANC/PANC), United States of America","Nome Airport, AK (OME/PAOM), United States of America","Anchorage International Airport, AK (ANC) (United States of America)"
167,ACC267,1977-02-15,Ilyushin IL-18,Aeroflot,CCCP-75520,77,98,Destroyed,Initial climb (ICL),Domestic Scheduled Passenger,"Nukus Airport (NCU/UTNN), Uzbekistan","Mineralnye Vody Airport (MRV/URMM), Russia",2 km (1.3 mls) S of Mineralnye Vody Airport (MRV) (Russia)
168,ACC268,1977-02-28,Douglas DC-3,Survair,C-FNAR,4,10,Damaged beyond repair,Approach (APR),Domestic Non Scheduled Passenger,"Frobisher Bay Airport, NU (YFB/CYFB), Canada","Salluit Airport, QC (YZG/CYZG), Canada","near Salluit Airport, QC (YZG) (Canada)"
