,accident_id,acc_date,type,operator,registration,total_fatalities,total_occupants,aircraft_damage,phase,nature,depart_airport,destination_airport,location
864,ACC964,1995-10-31,Cessna 208,Transportes Aéreos de Coahuila - TACSA,XA-SVM,9,11,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,"Saltillo Airport (SLW/MMIO), Mexico","Piedras Negras Airport (PDS/MMPG), Mexico",16 km (10 mls) from Piedras Negras Airport (PDS) (Mexico)
867,ACC967,1995-11-13,Boeing 737,Nigeria Airways,5N-AUA,11,138,Damaged beyond repair,Landing (LDG),Domestic Scheduled Passenger,"Jos Airport (JOS/DNJO), Nigeria","Kaduna Airport (KAD/DNKA), Nigeria",Kaduna Airport (KAD) (Nigeria)
869,ACC969,1995-12-03,Boeing 737,Cameroon Airlines,TJ-CBE,71,76,Destroyed,Approach (APR),International Scheduled Passenger,"Cotonou Airport (COO/DBBB), Benin","Douala Airport (DLA/FKKD), Cameroon","1,7 km (1.1 mls) S of Douala Airport (DLA) (Cameroon)"
871,ACC971,1995-12-22,Britten-Norman BN-2,Islands Nationair,P2-NAM,2,12,Damaged beyond repair,Landing (LDG),Domestic Scheduled Passenger,"Madang Airport (MAG/AYMD), Papua New Guinea","Bundi Airport (BNT), Papua New Guinea",Begesin Airstrip (Papua New Guinea)
874,ACC974,1995-12-30,Cessna 560,Iowa Packing Company,N991PC,2,2,Destroyed,Approach (APR),Executive,"Des Moines Airport, IA (DSM/KDSM), United States of America","Eagle River Airport, WI (EGV/KEGV), United States of America","0,4 km (0.3 mls) from Eagle River Airport, WI (EGV) (United States of America)"
882,ACC982,1996-03-09,de Havilland Canada DHC-6,Carson Helicopters,N245GW,3,3,Missing,En route (ENR),Survey/research,"Bagua Airport (SPGU), Peru","Bagua Airport (SPGU), Peru",near Bagua (Peru)
895,ACC995,1996-04-24,Reims Cessna F406,Tanzanair - Tanzania Air Services,5H-TZD,1,1,Destroyed,Approach (APR),Ferry/positioning,"Dar es Salaam International Airport (DAR/HTDA), Tanzania","Morogoro Airport (HTMG), Tanzania","Palapala hills, Morogoro (Tanzania)"
897,ACC997,1996-05-09,de Havilland Canada DHC-3,Buffalo Narrows Airways,C-GDOB,2,2,Destroyed,En route (ENR),Ferry/positioning,"Dawson Creek Airport, BC (YDQ/CYDQ), Canada","Buffalo Narrows Airport, SK (YVT/CYVT), Canada","55 km (34.4 mls) E of Terrace, BC (Canada)"
898,ACC998,1996-05-11,Britten-Norman BN-2,Milne Bay Air,P2-ISD,1,10,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,"Menyamya Airport (MYX), Papua New Guinea","Marawaka Airport (MWG/AYMW), Papua New Guinea",near Umba (Papua New Guinea)
900,ACC1000,1996-05-19,Britten-Norman BN-2,Loganair,G-BEDZ,1,3,Destroyed,Approach (APR),Ferry/positioning,"Inverness Airport (INV/EGPE), United Kingdom","Lerwick/Tingwall Airport, Shetland Islands (LWK/EGET), United Kingdom","1,5 km (0.9 mls) S of Lerwick/Tingwall Airport, Shetland Islands (LWK) (United Kingdom)"
904,ACC1004,1996-06-21,Harbin Yunshuji Y-12,China Flying Dragon Aviation,B-3822,2,12,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,"Dalian Airport (DLC/ZYTL), China","Changhai Airport (CNI/ZYCH), China",near Changhai Airport (CNI) (China)
906,ACC1006,1996-06-28,Beechcraft 200,Air Ivoire,TU-TJE,3,3,Destroyed,En route (ENR),Training,"Yamoussoukro Airport (ASK/DIYO), Cote d'Ivoire","Yamoussoukro Airport (ASK/DIYO), Cote d'Ivoire",near Bouaflé (Cote d'Ivoire)
907,ACC1007,1996-07-09,de Havilland Canada DHC-6,Milne Bay Air,P2-MBB,20,20,Damaged beyond repair,Approach (APR),Domestic Non Scheduled Passenger,"Bosavi Airstrip, Papua New Guinea","Mendi Airport (MDU/AYMN), Papua New Guinea",8 km (5 mls) NE of Mendi Airport (MDU) (Papua New Guinea)
908,ACC1008,1996-07-20,Douglas DC-6,Northern Air Cargo,N313RS,4,4,Destroyed,Approach (APR),Cargo,"Emmonak Airport, AK (EMK/PAEM), United States of America","Aniak Airport, AK (ANI/PANI), United States of America","Russian Mission, AK (RSH) (United States of America)"
911,ACC1011,1996-08-12,de Havilland Canada DHC-6,First Air,C-GNDN,2,2,Damaged beyond repair,Landing (LDG),Cargo,"Iqaluit Airport, NU (YFB/CYFB), Canada","Markham Bay, NU, Canada","Markham Bay, NU (Canada)"
912,ACC1012,1996-08-14,Douglas DC-4,"Air North, Yukon's Airline",C-FGNI,1,3,Damaged beyond repair,En route (ENR),Cargo,"Bronson Creek Airport, BC (YBM), Canada","Wrangell Airport, AK (WRG/PAWG), United States of America","near Bronson Creek Airport, BC (YBM) (Canada)"
914,ACC1014,1996-08-18,de Havilland Canada DHC-3,Harbour Air,C-GCMY,3,3,Damaged beyond repair,En route (ENR),Domestic Non Scheduled Passenger,"Tasu Airport, BC (YTU), Canada","Alliford Bay, BC, Canada","33 km (20.6 mls) S of Alliford Bay, BC (Canada)"
916,ACC1016,1996-09-18,Fairchild C-123,Krissalan de Aviacion,XA-SNB,5,5,Destroyed,Takeoff (TOF),Cargo,"Bahía Tortugas Airfield, Mexico","Ensenada Airport (ESE/MMES), Mexico",Bahía Tortugas Airfield (Mexico)
919,ACC1019,1996-10-22,Boeing 707,Million Air,N751MA,4,4,Damaged beyond repair,En route (ENR),Cargo,"Manta Airport (MEC/SEMT), Ecuador","Miami International Airport, FL (MIA/KMIA), United States of America",SW of Manta Airport (MEC) (Ecuador)
922,ACC1022,1996-11-14,Antonov AN-2,Komi Avia,RA-40309,14,15,Damaged beyond repair,Initial climb (ICL),Domestic Scheduled Passenger,"Most Pyssa Airfield, Russia","Koslan Airfield, Russia",Most Pyssa (Russia)
923,ACC1023,1996-11-26,Cessna 208,Arctic Transportation Services,N4704B,1,1,Destroyed,En route (ENR),Cargo,"Bethel Airport, AK (BET/PABE), United States of America","Kwigillingok Airport, AK (KWK/PAGG), United States of America","1,6 km (1 mls) W of Bethel, AK (United States of America)"
930,ACC1030,1997-01-29,de Havilland Canada DHC-4,Southcentral Air,N702SC,1,2,Destroyed,Approach (APR),Cargo,"St. Mary's, AK (PASM), United States of America","Kenai Airport, AK (ENA/PAEN), United States of America","3,5 km (2.2 mls) W of Sparrevohn Airport, AK (SVW) (United States of America)"
931,ACC1031,1997-01-31,Embraer EMB-110,Skypower Express Airways,5N-AXS,5,16,Damaged beyond repair,Approach (APR),Domestic Non Scheduled Passenger,"Jos Airport (JOS/DNJO), Nigeria","Yola Airport (YOL/DNYO), Nigeria","0,7 km (0.4 mls) N of Yola Airport (YOL) (Nigeria)"
