Unnamed: 0,acc. date,type,operator,fat.,location,dmg
5674,1 Jul 1994,Fokker F-28 Fellowship 4000,Air Mauritanie,80,Tidjikja Airport (TIY),dst
5719,8 Sep 1994,Boeing 737-3B7,USAir,132,"near Aliquippa, PA",dst
5743,12 Oct 1994,Fokker F-28 Fellowship 1000,Iran Aseman Airlines,66,near Natanz,dst
5754,31 Oct 1994,ATR 72-212,American Eagle,68,"near Roselawn, IN",dst
5806,29 Dec 1994,Boeing 737-4Y0,THY Turkish Airlines,57,4 km from Van Airport (VAN),w/o
5819,10 Jan 1995,Douglas DC-9-14,Intercontinental de Aviación,51,near Maria La Baja,dst
5880,31 Mar 1995,Airbus A310-324,Tarom,60,3 km N of Bucharest-Otopeni International Airport (OTP),dst
5909,29 Apr 1995,British Aerospace BAe-748-357 Srs. 2B SCD,Sri Lanka Air Force,52,near Jaffna-Palaly AFB (JAF),w/o
5978,9 Aug 1995,Boeing 737-2H6,Aviateca,65,24 km NE of San Salvador,dst
6005,13 Sep 1995,Antonov An-32B,Sri Lanka Air Force,75,4 km N off Colombo,dst
6038,8 Nov 1995,Fokker F-27 Friendship 400M,Lineas Aéreas del Estado - LADE,53,"30 km SE of Villa Dolores, CD",w/o
6045,22 Nov 1995,Antonov An-32B,Sri Lanka Air Force,62,13 km off Jaffna,dst
6054,3 Dec 1995,Boeing 737-2K9,Cameroon Airlines,71,"1,7 km S of Douala Airport (DLA)",dst
6056,5 Dec 1995,Tupolev Tu-134B-3,Azerbaijan Airlines,52,"3,8 km from Nakhichevan Airport (NAJ)",w/o
6060,7 Dec 1995,Tupolev Tu-154B,Khabarovsk United Air,98,50 km W of Grossevichi,dst
6065,18 Dec 1995,Lockheed L-188C Electra,Trans Service Airlift,141,"near Cahungula, Lunda Norte",dst
6066,20 Dec 1995,Boeing 757-223,American Airlines,159,Buga,dst
6088,8 Jan 1996,Antonov An-32B,African Air,237,Kinshasa-N'Dolo Airport (NLO),w/o
6103,6 Feb 1996,Boeing 757-225,Alas Nacionales,189,"26 km NE off Puerto Plata, Dominican Republic",dst
6115,26 Feb 1996,Lockheed C-130H Hercules,Al Quwwat al-Jawwiya As-Sudaniya (Sudanese Air Force),91,near Jabal Awliya,dst
6118,29 Feb 1996,Boeing 737-222,Faucett Perú,123,"6,3 km W of Arequipa-Rodriguez Ballon Airport (AQP)",dst
6159,3 May 1996,Antonov An-24RV,Federal Airlines,53,near Haj Yousif,w/o
6165,11 May 1996,McDonnell Douglas DC-9-32,ValuJet Airlines,110,"Everglades, FL",dst
6212,17 Jul 1996,Boeing 747-131,Trans World Airlines - TWA,230,"13 km S off East Moriches, NY",dst
6246,29 Aug 1996,Tupolev Tu-154M,Vnukovo Airlines,141,"14,3 km from Svalbard-Longyearbyen Airport (LYR)",dst
6260,2 Oct 1996,Boeing 757-23A,AeroPeru,70,"89 km NW off Lima, Peru",dst
6278,31 Oct 1996,Fokker 100,TAM Transportes Aéreos Regionais,99,"1,5 km S of São Paulo-Congonhas Airport, SP (CGH)",dst
6283,7 Nov 1996,Boeing 727-231,ADC Airlines,144,"7,5 km W of Ejirin",dst
6284,12 Nov 1996,Ilyushin Il-76TD,Kazakhstan Airlines,339,5 km from Charkhi Dadri,dst
6285,12 Nov 1996,Boeing 747-168B,Saudi Arabian Airlines,339,5 km from Charki Dadri,dst
6296,23 Nov 1996,Boeing 767-260ER,Ethiopian Airlines,125,"0,5 km N off Mitsamiouli, Grande Comore",dst
6383,13 Mar 1997,Lockheed C-130 Hercules,Islamic Republic of Iran Air Force - IRIAF,86,24 km from Mashhad,dst
6386,18 Mar 1997,Antonov An-24RV,Stavropolskaya Aktsionernaya Avia,50,1 km E of Cherkessk,dst
6466,6 Aug 1997,Boeing 747-3B5,Korean Air,228,"4,8 km SW of Guam-Agana International Airport (GUM)",dst
6484,3 Sep 1997,Tupolev Tu-134B-3,Vietnam Airlines,65,Phnom Penh-Pochentong Airport (PNH),dst
6498,26 Sep 1997,Airbus A300B4-220,Garuda Indonesia Airways,234,25 km SSW of Medan-Polonia Airport (MES),dst
6505,10 Oct 1997,McDonnell Douglas DC-9-32,Austral Lineas Aéreas,74,21 km E of Nuevo Berlin,dst
6534,6 Dec 1997,Antonov An-124-100,Russian Air Force,68,"1,6 km SE of Irkutsk-2 Airport",dst
6543,15 Dec 1997,Tupolev Tu-154B-1,Tajikistan Airlines,85,13 km E of Sharjah Airport (SHJ),dst
6546,17 Dec 1997,Yakovlev Yak-42,AeroSvit Airlines,70,72 km SW of Thessaloniki,dst
6548,19 Dec 1997,Boeing 737-36N,Silkair,104,56 km N of Palembang,dst
6577,13 Jan 1998,Antonov An-32,Islamic Emirate of Afghanistan Air Force - IEAAF,51,Khojak Pass,w/o
6591,2 Feb 1998,McDonnell Douglas DC-9-32,Cebu Pacific Air,104,45 km NE of Cagayan de Oro-Lumbia Airport (CGY),dst
6602,16 Feb 1998,Airbus A300B4-622R,China Airlines,203,Taipei-Chiang Kai Shek International Airport (TPE),dst
6630,20 Apr 1998,Boeing 727-230,TAME Ecuador,53,10 km SW of Bogotá-Eldorado Airport (BOG),dst
6635,5 May 1998,Boeing 737-282 Advanced,Occidental Petroleum,75,3 km from Andoas,w/o
6713,29 Aug 1998,Tupolev Tu-154M,Cubana de Aviación,80,Quito-Mariscal Sucre Airport (UIO),dst
6717,2 Sep 1998,McDonnell Douglas MD-11,Swissair,229,"9 km SW off Peggy's Cove, NS",dst
6743,29 Sep 1998,Antonov An-24RV,LionAir,55,off Mannar,dst
6780,11 Dec 1998,Airbus A310-204,Thai Airways International,101,"0,7 km S of Surat Thani Airport (URT)",dst
6836,24 Feb 1999,Tupolev Tu-154M,China Southwest Airlines,61,Rui'an,dst
6892,3 Jun 1999,Antonov An-32,Al Quwwat al-Jawwiya As-Sudaniya (Sudanese Air Force),50,80 km E of Khartoum,w/o
6945,31 Aug 1999,Boeing 737-204C,LAPA - Líneas Aéreas Privadas Argentinas,66,"Buenos Aires-Jorge Newbery Airport, BA (AEP)",dst
6988,31 Oct 1999,Boeing 767-366ER,EgyptAir,217,"100 km S off Nantucket Island, MA, USA",dst
7047,30 Jan 2000,Airbus A310-304,Kenya Airways,169,"2,8 km S off Abidjan-Felix Houphouet Boigny Airport (ABJ)",dst
7049,31 Jan 2000,McDonnell Douglas DC-9-83 (MD-83),Alaska Airlines,88,"4,5 km N off Anacapa Island, CA",dst
7101,19 Apr 2000,Boeing 737-2H4,Air Philippines,131,8 km NE of Davao City-Francisco Bangoy International Airport (DVO),dst
7155,17 Jul 2000,Boeing 737-2A8 Advanced,Alliance Air,60,2 km SW of Patna Airport (PAT),w/o
7160,25 Jul 2000,Aérospatiale / BAC Concorde 101,Air France,113,Gonesse,dst
7181,23 Aug 2000,Airbus A320-212,Gulf Air,143,2 km N off Bahrain International Airport (BAH),dst
7222,25 Oct 2000,Ilyushin Il-18D,Russian Air Force,84,18 km E of Batumi-Chorokh Airport (BUS),dst
7225,31 Oct 2000,Boeing 747-412,Singapore Airlines,83,Taipei-Chiang Kai Shek Airport (TPE),dst
7236,15 Nov 2000,Antonov An-24RV,ASA Pesada,57,5 km E of Luanda-4 de Fevereiro Airport (LAD),dst
7357,4 Jul 2001,Tupolev Tu-154M,Vladivostokavia,145,near Burdakovka,dst
7396,11 Sep 2001,Boeing 757-223,American Airlines,189,"Washington, DC",dst
7398,11 Sep 2001,Boeing 767-222,United Airlines,965,"New York, NY",dst
7399,11 Sep 2001,Boeing 767-223ER,American Airlines,1692,"New York, NY",dst
7415,4 Oct 2001,Tupolev Tu-154M,Sibir Airlines,78,"184 km off Adler, Russia [Black Sea]",dst
7417,8 Oct 2001,Cessna 525A CitationJet CJ2,H. Enschmann,114,Milano-Linate Airport (LIN),w/o
7418,8 Oct 2001,McDonnell Douglas DC-9-87 (MD-87),Scandinavian Airlines System - SAS,119,Milano-Linate Airport (LIN),dst
7444,12 Nov 2001,Airbus A300B4-605R,American Airlines,265,"Belle Harbor, NY",dst
7500,28 Jan 2002,Boeing 727-134,TAME Ecuador,94,27 km NW of Ipiales,dst
7511,12 Feb 2002,Tupolev Tu-154M,Iran Airtour,119,near Sarab-e Do Rah,dst
7552,15 Apr 2002,Boeing 767-2J6ER,Air China,129,"4,6 km N of Pusan-Kimhae Airport (PUS)",dst
7564,4 May 2002,BAC One-Eleven 525FT,EAS Airlines,103,3 km SW of Kano-Aminu Kano International Airport (KAN),dst
7565,7 May 2002,McDonnell Douglas DC-9-82 (MD-82),China Northern Airlines,112,20 km E off Dalian,dst
7579,25 May 2002,Boeing 747-209B,China Airlines,225,"45 km NE off Penghu islands, Taiwan [Taiwan Strait]",dst
7600,1 Jul 2002,Boeing 757-23APF,DHL Aviation,71,Überlingen,dst
7601,1 Jul 2002,Tupolev Tu-154M,Bashkirskie Avialinii,71,Überlingen,dst
7713,8 Jan 2003,Avro RJ100,THY Turkish Airlines,75,"0,9 km S of Diyarbakir Airport (DIY)",dst
7743,19 Feb 2003,Ilyushin Il-76MD,Iranian Revolutionary Guard Corps Air Force - IRGCAF,275,35 km SE from Kerman,dst
7751,6 Mar 2003,Boeing 737-2T4,Air Algérie,102,Tamanrasset Airport (TMR),dst
7812,26 May 2003,Yakovlev Yak-42D,Ukrainian-Mediterranean Airlines,75,"3,5 km E of Maçka",dst
7838,8 Jul 2003,Boeing 737-2J8C,Sudan Airways,116,5 km E of Port Sudan,dst
7926,25 Dec 2003,Boeing 727-223,Union des Transports Africains de Guinée,141,Cotonou Airport (COO),dst
7931,3 Jan 2004,Boeing 737-3Q8,Flash Airlines,148,15 km S off Sharm el Sheikh,dst
8114,21 Nov 2004,Canadair CL-600-2B19 Regional Jet CRJ-200LR,China Yunnan Airlines,55,near Baotou Airport (BAV),dst
8164,3 Feb 2005,Boeing 737-242 Advanced,Kam Air,105,32 km ESE of Kabul Airport (KBL),dst
8256,16 Jul 2005,Antonov An-24B,Equatorial Express Airlines,60,near Baney,w/o
8272,14 Aug 2005,Boeing 737-31S,Helios Airways,121,2 km from Grammatikos,dst
8274,16 Aug 2005,McDonnell Douglas DC-9-82 (MD-82),West Caribbean Airways,160,near Machiques,dst
8287,5 Sep 2005,Boeing 737-230,Mandala Airlines,149,Medan-Polonia Airport (MES),dst
8315,22 Oct 2005,Boeing 737-2L9,Bellview Airlines,117,"Lisa Village, Ogun State",dst
8349,6 Dec 2005,Lockheed C-130E Hercules,Islamic Republic of Iran Air Force - IRIAF,106,Tehran,dst
8353,10 Dec 2005,McDonnell Douglas DC-9-32,Sosoliso Airlines,108,Port Harcourt Airport (PHC),dst
8430,3 May 2006,Airbus A320-211,Armavia,113,6 km SW off Adler/Sochi Airport (AER),dst
8480,9 Jul 2006,Airbus A310-324,S7 Airlines,125,Irkutsk Airport (IKT),dst
8510,22 Aug 2006,Tupolev Tu-154M,Pulkovo Aviation Enterprise,170,45 km NW of Donetsk,dst
8527,29 Sep 2006,Embraer EMB-135BJ Legacy 600,ExcelAire,154,"Novo Progresso-Cachimbo Air Base, PA (SBCC)",min
8528,29 Sep 2006,Boeing 737-8EH,Gol Transportes Aéreos,154,"30 km from Peixoto Azevedo, MT",dst
8542,29 Oct 2006,Boeing 737-2B7,ADC Airlines,96,Abuja International Airport (ABV),dst
8592,1 Jan 2007,Boeing 737-4Q8,AdamAir,102,85 km W off Pambauang,dst
8662,5 May 2007,Boeing 737-8AL,Kenya Airways,114,"5,5 km SE of Douala Airport (DLA)",dst
8706,17 Jul 2007,Airbus A320-233,TAM Linhas Aéreas,199,"São Paulo-Congonhas Airport, SP (CGH)",dst
8753,16 Sep 2007,McDonnell Douglas DC-9-82 (MD-82),One-Two-Go Airlines,90,Phuket International Airport (HKT),dst
8795,30 Nov 2007,McDonnell Douglas DC-9-83 (MD-83),Atlasjet Airlines,57,12 km WNW of Isparta Airport (ISE),dst
8969,20 Aug 2008,McDonnell Douglas DC-9-82 (MD-82),Spanair,154,Madrid-Barajas Airport (MAD),dst
8974,24 Aug 2008,Boeing 737-219,Itek Air,65,"7,8 km WNW of Bishkek-Manas International Airport (FRU)",dst
8989,14 Sep 2008,Boeing 737-505,Aeroflot-Nord,88,"11,5 km NE of Perm Airport (PEE)",dst
9068,12 Feb 2009,de Havilland Canada DHC-8-402Q Dash 8,Colgan Air,50,"10 km NE of Buffalo Niagara International Airport, NY (BUF)",dst
9118,20 May 2009,Lockheed L-100-30 Hercules,Tentara Nasional Indonesia-AU (Air Force),99,near Madiun-Iswahyudi Airport,dst
9123,1 Jun 2009,Airbus A330-203,Air France,228,c 160km NNW off São Pedro and São Paulo Archipelago,dst
9143,30 Jun 2009,Airbus A310-324,Yemenia Airways,152,6 km NW off Mitsamiouli,dst
9148,15 Jul 2009,Tupolev Tu-154M,Caspian Airlines,168,12 km S of Qazvin,dst
9260,25 Jan 2010,Boeing 737-8AS (WL),Ethiopian Airlines,90,11 km SW off Beirut International Airport (BEY),dst
9298,10 Apr 2010,Tupolev Tu-154M,Polish Air Force,96,ca 1 km E of Smolensk Air Base,dst
9315,12 May 2010,Airbus A330-202,Afriqiyah Airways,103,"ca 0,9 km W of Tripoli International Airport (TIP)",dst
9322,22 May 2010,Boeing 737-8HG (WL),Air India Express,158,Mangalore-Bajpe Airport (IXE),dst
9358,28 Jul 2010,Airbus A321-231,Airblue,152,15 km NNW of Islamabad-Benazir Bhutto International Airport (ISB),dst
9402,4 Nov 2010,ATR 72-212,Aerocaribbean,68,"near Guasimal, Sancti Spiritus Province",dst
9439,9 Jan 2011,Boeing 727-286,Iran Air,78,8 km from Urmia (Orumiyeh) Airport (OMH),dst
9528,8 Jul 2011,Boeing 727-22 (WL),Hewa Bora Airways,77,Kisangani-Bangoka International Airport (FKI),dst
9541,26 Jul 2011,Lockheed C-130H Hercules,Royal Moroccan Air Force,80,10 km E of Goulimime Airport (GLN),dst
9673,20 Apr 2012,Boeing 737-236A,Bhoja Airlines,127,"4,2 km SE of Islamabad-Benazir Bhutto International Airport (ISB)",dst
9702,3 Jun 2012,McDonnell Douglas DC-9-83 (MD-83),Dana Air,159,"9,3 km N of Lagos-Murtala Muhammed International Airport (LOS)",dst
9983,17 Nov 2013,Boeing 737-53A,Tatarstan Airlines,50,Kazan International Airport (KZN),dst
10041,11 Feb 2014,Lockheed C-130H-30 Hercules,Al Quwwat al-Jawwiya al-Jaza'eriya,76,near Aïn Kercha,dst
10066,8 Mar 2014,Boeing 777-2H6ER,Malaysia Airlines,239,within Indian Ocean,dst
10143,17 Jul 2014,Boeing 777-2H6ER,Malaysia Airlines,298,Hrabove,dst
10150,24 Jul 2014,McDonnell Douglas DC-9-83 (MD-83),Air Algérie,116,80 km NW of Gossi,dst
10241,28 Dec 2014,Airbus A320-216,Indonesia AirAsia,162,Karimata Strait,dst
10293,24 Mar 2015,Airbus A320-211,Germanwings,150,Prads-Haute-Bléone,dst
10354,30 Jun 2015,Lockheed C-130B Hercules,Tentara Nasional Indonesia-AU (Air Force),139,"4,7 km SW of Medan-Soewondo Air Force Base (MES)",dst
10382,16 Aug 2015,ATR 42-300,Trigana Air Service,54,"16,7 km NW of Oksibil Airport (OKL)",dst
10432,31 Oct 2015,Airbus A321-231,Metrojet,224,"ca 50 km SE of Hasna, North Sinai",dst
10514,19 Mar 2016,Boeing 737-8KN (WL),flydubai,62,Rostov Airport (ROV),dst
10550,19 May 2016,Airbus A320-232,EgyptAir,66,ca 200 km N of Egyptian coast,dst
10649,28 Nov 2016,Avro RJ85,LaMia,71,18 km S of Rionegro/Medellín-José María Córdova Airport (MDE),dst
10673,25 Dec 2016,Tupolev Tu-154B-2,Russian Air Force,92,"1,6 km SW off Adler",dst
10761,7 Jun 2017,Shaanxi Y-8F-200W,Tatmadaw Lei (Myanmar Air Force),122,off Dawei,dst
10899,11 Feb 2018,Antonov An-148-100B,Saratov Airlines,71,"near Stepanovskoye, Ramenskoye district",dst
10901,18 Feb 2018,ATR 72-212,Iran Aseman Airlines,66,15 km NE of Yasuj Airport (YES),dst
10911,12 Mar 2018,de Havilland Canada DHC-8-402Q Dash 8,US-Bangla Airlines,51,Kathmandu-Tribhuvan Airport (KTM),dst
10940,11 Apr 2018,Ilyushin Il-76TD,Al Quwwat al-Jawwiya al-Jaza'eriya,257,near Boufarik Air Base,dst
10976,18 May 2018,Boeing 737-201 Advanced,Cubana de Aviación,112,1 km E of Havana-José Martí International Airport (HAV),dst
11079,29 Oct 2018,Boeing 737 MAX 8,Lion Air,189,15 km N off Tanjung Bungin,dst
11155,10 Mar 2019,Boeing 737 MAX 8,Ethiopian Airlines,157,50 km ESE of Addis Ababa-Bole Airport (ADD),dst
11367,8 Jan 2020,Boeing 737-8KV (WL),Ukraine International Airlines,176,near Sabashahr,dst
11453,22 May 2020,Airbus A320-214,Pakistan International Airlines - PIA,98,"1,4 km E of Karachi-Jinnah International Airport (KHI)",dst
11566,9 Jan 2021,Boeing 737-524 (WL),Sriwijaya Air,62,19 km NE of Jakarta-Soekarno-Hatta International Airport (CGK),dst
11649,4 Jul 2021,Lockheed C-130H Hercules,Hukbong Himpapawid ng Pilipinas (Philippine Air Force),53,"Patikul, Sulu",dst
11793,21 Mar 2022,Boeing 737-89P (WL),China Eastern Airlines,132,"20 km SW of Wuzhou, Tengxian County",dst
