Unnamed: 0,acc. date,type,operator,fat.,location,dmg
1102,30 Sep 1975,Tupolev Tu-154A,Malev Hungarian Airlines,60,10 km off Beirut International Airport (BEY),w/o
1115,27 Oct 1975,Convair CV-440-12,Transporte Aéreo Militar - TAM,67,Cerro Colorado,dst
1116,30 Oct 1975,McDonnell Douglas DC-9-32,Inex-Adria Aviopromet,75,8 km NE of Praha-Ruzyne International Airport (PRG),dst
1153,1 Jan 1976,Boeing 720-023B,Middle East Airlines - MEA,81,37 km NW of Al Qaysumah,dst
1157,3 Jan 1976,Tupolev Tu-124V,"Aeroflot, North Kavkaz Civil Aviation Directorate",67,7 km W of Moskva-Vnukovo Airport (VKO),dst
1191,6 Mar 1976,Ilyushin Il-18E,Aeroflot / Armenia,111,near Verkhnyaya Khava,dst
1233,15 May 1976,Antonov An-24RV,Aeroflot / Ukraine,52,15 km SE of Chernigov,dst
1274,28 Jul 1976,Ilyushin Il-18V,CSA Ceskoslovenské Aerolinie,76,"1,5 km NW of Bratislava-Ivanka Airport (BTS)",dst
1285,15 Aug 1976,Vickers 785D Viscount,SAETA,59,Chimborazo Volcano,w/o
1297,3 Sep 1976,Lockheed C-130H Hercules,Fuerza Aérea Venezolana - FAV,68,"near Terceira-Lajes Airport, Azores (TER)",dst
1305,9 Sep 1976,Yakovlev Yak-40,"Aeroflot, North Kavkaz Civil Aviation Directorate",70,37 km S off Anapa [Black Sea],dst
1306,9 Sep 1976,Antonov An-24RV,Aeroflot / Belarus,70,37 km S off Anapa [Black Sea],dst
1309,10 Sep 1976,McDonnell Douglas DC-9-32,Inex-Adria Aviopromet,176,near Vrbovec,dst
1310,10 Sep 1976,Hawker Siddeley HS-121 Trident 3B,British Airways,176,near Vrbovec,dst
1314,19 Sep 1976,Boeing 727-2F2,Türk Hava Yollari - THY,154,near Isparta,dst
1324,6 Oct 1976,Douglas DC-8-43,Cubana de Aviación,73,8 km W off Bridgetown International Airport (BGI),dst
1325,12 Oct 1976,Sud Aviation SE-210 Caravelle VI-N,Indian Airlines,95,Bombay-Santacruz Airport (BOM),dst
1328,13 Oct 1976,Boeing 707-131F,Lloyd Aéreo Boliviano - LAB,91,"0,6 km NW of Santa Cruz-El Trompillo Airport (SRZ)",dst
1349,23 Nov 1976,NAMC YS-11A-500,Olympic Airways,50,19 km SE of Kozani-Philippos Airport (KZI),w/o
1351,28 Nov 1976,Tupolev Tu-104B,"Aeroflot, Northern Civil Aviation Directorate",73,"near Klushino, Solnechnogorsky District",dst
1368,25 Dec 1976,Boeing 707-366C,EgyptAir,71,ca 2 km NE of Bangkok-Don Muang International Airport (BKK),w/o
1393,13 Jan 1977,Tupolev Tu-104A,"Aeroflot, Far East Civil Aviation Directorate",90,"3,5 km NE of Alma-Ata Airport (ALA)",dst
1419,15 Feb 1977,Ilyushin Il-18V,Aeroflot / Uzbekistan,77,2 km S of Mineralnye Vody Airport (MRV),dst
1446,27 Mar 1977,Boeing 747-206B,KLM Royal Dutch Airlines,583,Tenerife-Los Rodeos International Airport (TCI),dst
1447,27 Mar 1977,Boeing 747-121,Pan American World Airways (Pan Am),583,Tenerife-Los Rodeos International Airport (TCI),dst
1457,4 Apr 1977,McDonnell Douglas DC-9-31,Southern Airways,72,"New Hope, GA",dst
1505,27 May 1977,Ilyushin Il-62M,"Aeroflot, International Civil Aviation Directorate",67,"1,3 km SW of Havana-José Martí International Airport (HAV)",dst
1631,19 Nov 1977,Boeing 727-282,TAP Air Portugal,131,Funchal Airport (FNC),dst
1644,2 Dec 1977,Tupolev Tu-154A,Libyan Arab Airlines,59,near Benghazi,w/o
1645,4 Dec 1977,Boeing 737-2H6,Malaysian Airlines System - MAS,100,near Tanjong Kupang,dst
1671,1 Jan 1978,Boeing 747-237B,Air-India,213,3 km W off Bombay-Santacruz Airport (BOM),dst
1720,16 Mar 1978,Tupolev Tu-134,Balkan Bulgarian Airlines,73,near Gabare,dst
1848,25 Sep 1978,Boeing 727-214,Pacific Southwest Airlines - PSA,144,"5,6 km NE of San Diego International Airport, CA (SAN)",dst
1888,15 Nov 1978,McDonnell Douglas DC-8-63CF,Loftleidir,183,"2,1 km NE of Colombo-Bandaranaike International Airport (CMB)",dst
1894,19 Nov 1978,Antonov An-12B,Indian Air Force - IAF,78,"0,5 km from Leh Airport (IXL)",dst
1923,23 Dec 1978,McDonnell Douglas DC-9-32,Alitalia,108,3 km N off Palermo-Punta Raisi Airport (PMO),dst
1962,12 Feb 1979,Vickers 748D Viscount,Air Rhodesia,59,near Kariba,w/o
1984,17 Mar 1979,Tupolev Tu-104B,Aeroflot / Ukraine,58,near Moskva-Vnukovo Airport (VKO),w/o
2006,23 Apr 1979,Vickers 785D Viscount,SAETA,57,Pastaza Province,dst
2023,25 May 1979,McDonnell Douglas DC-10-10,American Airlines,273,"Chicago-O'Hare International Airport, IL (ORD)",dst
2065,11 Jul 1979,Fokker F-28 Fellowship 1000,Garuda Indonesia Airways,61,Mount Sibayak,dst
2095,11 Aug 1979,Tupolev Tu-134A,Aeroflot / Belarus,178,2 km NE of Kurilovka,dst
2096,11 Aug 1979,Tupolev Tu-134A,Aeroflot / Moldova,178,"3,5 km SE of Kurilovka",dst
2107,29 Aug 1979,Tupolev Tu-124V,"Aeroflot, Privolzhsk Civil Aviation Directorate",63,near Kirsanov,dst
2153,31 Oct 1979,McDonnell Douglas DC-10-10,Western Air Lines,73,Mexico City-Juarez International Airport (MEX),w/o
2175,26 Nov 1979,Boeing 707-340C,Pakistan International Airlines - PIA,156,48 km N of Taif,dst
2177,28 Nov 1979,McDonnell Douglas DC-10-30,Air New Zealand,257,Mount Erebus,dst
2210,21 Jan 1980,Boeing 727-86,Iran Air,128,29 km N of Tehran-Mehrabad Airport (THR),dst
2245,14 Mar 1980,Ilyushin Il-62,LOT Polskie Linie Lotnicze,87,"0,8 km NW of Warszawa-Okecie Airport (WAW)",dst
2266,12 Apr 1980,Boeing 727-27C,Transbrasil,55,"22 km NNE of Florianópolis-Hercilio Luz International Airport, SC (FLN)",dst
2275,25 Apr 1980,Boeing 727-46,Dan-Air Services,146,Esperanzo Forest,dst
2316,27 Jun 1980,Douglas DC-9-15,Aerolinee Itavia,81,"25 km NE off Ustica, Italy [Tyrrhenian Sea]",dst
2322,8 Jul 1980,Tupolev Tu-154B-2,"Aeroflot, Kazakstan Civil Aviation Directorate",166,5 km from Alma-Ata Airport (ALA),dst
2352,19 Aug 1980,Lockheed L-1011 TriStar 200,Saudi Arabian Airlines,301,Riyadh International Airport (RUH),dst
2376,14 Sep 1980,Lockheed C-130E Hercules,Royal Saudi Air Force - RSAF,89,near Madinah-Mohammad Bin Abdulaziz Airport (MED),dst
2445,21 Dec 1980,Sud Aviation SE-210 Caravelle VI-R,TAC Colombia,70,near Riohacha,dst
2474,7 Feb 1981,Tupolev Tu-104A,Soviet Navy,50,ca 20 km S of Leningrad,w/o
2571,20 Jul 1981,Fokker F-27 Friendship 600RF,Somali Airlines,50,near Balad,dst
2592,22 Aug 1981,Boeing 737-222,Far Eastern Air Transport - FEAT,110,"near Sanyi Township, Miaoli County",dst
2595,26 Aug 1981,Vickers 745D Viscount,Aeropesca Colombia,50,ca 48 km N of Florencia,dst
2618,29 Sep 1981,Lockheed C-130H Hercules,Islamic Republic of Iran Air Force - IRIAF,80,Kahrisak,w/o
2641,16 Nov 1981,Tupolev Tu-154B-2,"Aeroflot, Krasnoyarsk Civil Aviation Directorate",99,Noril'sk Airport (NSK),w/o
2649,1 Dec 1981,McDonnell Douglas DC-9-81 (MD-81),Inex-Adria Aviopromet,180,24 km SE of Ajaccio-Campo dell'Oro Airport (AJA),dst
2676,13 Jan 1982,Boeing 737-222,Air Florida,78,"1,4 km  N of Washington-National Airport, DC (DCA) [Potomac River]",dst
2677,14 Jan 1982,Antonov An-26,Ethiopian Air Force,73,near Addis Ababa,dst
2693,5 Feb 1982,Fairchild C-123J Provider,Republic of Korea Air Force - ROKAF,53,near Jeju (Cheju) International Airport (CJU),w/o
2732,26 Apr 1982,Hawker Siddeley HS-121 Trident 2E,CAAC,112,"Gongcheng County, Guilin, Guangxi Zhuang Autonomous Region",dst
2766,1 Jun 1982,Fairchild C-123J Provider,Republic of Korea Air Force - ROKAF,53,near Seoul-Seongnam Air Base (SSN),w/o
2775,8 Jun 1982,Boeing 727-212,VASP - Viação Aérea São Paulo,137,"Serra de Pacatuba, CE",dst
2791,28 Jun 1982,Yakovlev Yak-42,"Aeroflot, Leningrad Civil Aviation Directorate",132,"near Verbovichi, Narowla District",dst
2795,6 Jul 1982,Ilyushin Il-62M,"Aeroflot, International Civil Aviation Directorate",90,"11,4 km N of Moskva-Sheremetyevo Airport (SVO)",dst
2796,9 Jul 1982,Boeing 727-235,Pan American World Airways (Pan Am),153,"1,4 km E of New Orleans International Airport, LA (MSY)",dst
2836,13 Sep 1982,McDonnell Douglas DC-10-30CF,Spantax,50,Málaga Airport (AGP),dst
3024,11 Jul 1983,Boeing 737-2V2,TAME Ecuador,119,"1,5 km from Cuenca",dst
3060,30 Aug 1983,Tupolev Tu-134A,"Aeroflot, Privolzhsk Civil Aviation Directorate",90,36 km SW of Alma-Ata Airport (ALA),dst
3063,1 Sep 1983,Boeing 747-230B,Korean Air Lines - KAL,269,37 km W off Sakhalinsk [Okhotsk Sea],dst
3070,23 Sep 1983,Boeing 737-2P6,Gulf Air,112,Mino Jebel Ali,dst
3095,8 Nov 1983,Boeing 737-2M2,TAAG Angola Airlines,130,1 km from Lubango Airport (SDD),dst
3106,27 Nov 1983,Boeing 747-283M,Avianca,181,12 km SE of Madrid-Barajas Airport (MAD),dst
3108,28 Nov 1983,Fokker F-28 Fellowship 2000,Nigeria Airways,53,"3,3 km from Enugu Airport (ENU)",w/o
3111,7 Dec 1983,McDonnell Douglas DC-9-32,Aviaco,83,Madrid-Barajas Airport (MAD),w/o
3112,7 Dec 1983,Boeing 727-256,Iberia,83,Madrid-Barajas Airport (MAD),w/o
3129,10 Jan 1984,Tupolev Tu-134A,Balkan Bulgarian Airlines,50,4 km from Sofia-Vrazhdebna Airport (SOF),w/o
3269,18 Sep 1984,Douglas DC-8-55F,AECA - Aeroservicios Ecuatorianos,53,Quito-Mariscal Sucre Airport (UIO),w/o
3287,11 Oct 1984,Tupolev Tu-154B-1,"Aeroflot, East Siberia Civil Aviation Directorate",178,Omsk Airport (OMS),dst
3323,23 Dec 1984,Tupolev Tu-154B-2,"Aeroflot, Krasnoyarsk Civil Aviation Directorate",110,Krasnoyarsk Airport (KJA),dst
3348,21 Jan 1985,Lockheed L-188A Electra,Galaxy Airlines,70,"3 km SE of Reno/Tahoe International Airport, NV (RNO)",dst
3360,1 Feb 1985,Tupolev Tu-134AK,Aeroflot / Belarus,58,10 km E of Minsk-2 International Airport (MSQ),dst
3368,19 Feb 1985,Boeing 727-256,Iberia,148,30 km SE of Bilbao Airport (BIO),dst
3370,22 Feb 1985,Antonov An-24V,Air Mali,51,ca 3 km from Tombouctou Airport (TOM),dst
3410,3 May 1985,Antonov An-26,Soviet Air Force,94,near Zolochiv,w/o
3411,3 May 1985,Tupolev Tu-134A,Aeroflot / Estonia,94,near Zolochiv,dst
3443,23 Jun 1985,Boeing 747-237B,Air-India,329,"176 km W off Cork, Ireland",dst
