Unnamed: 0,acc. date,type,operator,fat.,location,dmg,country,state,city,LAT,LNG
302,28 Nov 1972,McDonnell Douglas DC-8-62,Japan Air Lines - JAL,61,Moskva-Sheremetyevo Airport (SVO),dst,RU,,Moscow,55.94772,37.41329
308,3 Dec 1972,Convair CV-990-30A-5 Coronado,Spantax,155,Tenerife-Los Rodeos International Airport (TCI),dst,US,CA,Los Angeles,33.95909,-118.38557
333,29 Dec 1972,Lockheed L-1011-385-1 TriStar 1,Eastern Air Lines,101,"Everglades, FL",dst,US,FL,Everglades City,25.85694,-81.38485
347,22 Jan 1973,Boeing 707-3D3C,Nigeria Airways,176,Kano International Airport (KAN),dst,IN,DL,Delhi,28.55574,77.08556
362,19 Feb 1973,Tupolev Tu-154,"Aeroflot, International Civil Aviation Directorate",66,"0,5 km NE of Praha-Ruzyne International Airport (PRG)",dst,US,IL,Chicago,41.97981,-87.88204
365,21 Feb 1973,Boeing 727-224,Libyan Arab Airlines,108,35 km SE of Isma'iliya,dst,EG,,Ismailia,30.60312,32.27937
369,24 Feb 1973,Ilyushin Il-18V,Aeroflot / Tajikistan,79,40 km from Ura-Tube,dst,US,,,38.89037,-77.03196
380,5 Mar 1973,McDonnell Douglas DC-9-32,Iberia,68,"near La Plance, near Nantes",dst,FR,PDL,Nantes,47.27125,-1.52107
381,5 Mar 1973,Convair CV-990-30A-5 Coronado,Spantax,68,"over La Plance, near Nantes",sub,FR,PDL,Nantes,47.27125,-1.52107
394,19 Mar 1973,Douglas C-54D-15-DC (DC-4),Air Vietnam,58,"6,5 km S of Buon Me Thuot (Ban Me Thuot)-Phung-Duc Airport (BMV)",w/o,US,,,38.89037,-77.03196
406,10 Apr 1973,Vickers 952 Vanguard,Invicta International Airways,108,15 km S of Basel/Mulhouse Airport (BSL),dst,US,,,38.89037,-77.03196
434,11 May 1973,Ilyushin Il-18B,Aeroflot / Azerbaijan,63,84 km S of Semipalatinsk,dst,RU,,Volgograd,48.49557,44.55179
