,acc. date,type,operator,fat.,location,dmg
11112,31 Dec 2018,Boeing 757-2B7 (WL),American Airlines,0,"Charlotte-Douglas International Airport, NC (CLT)",sub
11113,1 Jan 1970,Rockwell Sabreliner 80,private,0,"Eugene Airport, OR (EUG)",sub
11114,7 Jan 2019,Saab 340B,RAF-AVIA,0,Savonlinna Airport (SVL),sub
11115,12 Jan 2019,Boeing 737-524 (WL),UTair Aviation,0,Moskva-Vnukovo Airport (VKO),sub
11116,12 Jan 2019,Canadair CL-600-2A12 Challenger 601,TW 601-C Investment LLC,0,"Uvalde-Ox Ranch Airport, TX",sub
11117,14 Jan 2019,Boeing 707-3J9C,Saha Air,15,Fat'h Airport,dst
11118,16 Jan 2019,Cessna 208B Grand Caravan,Air Services Limited - ASL,0,Georgetown-Ogle International Airport (OGL),sub
11119,21 Jan 2019,Boeing 737-330 (QC),Serve Air,0,Kinshasa-N'Djili Airport (FIH),sub
11120,21 Jan 2019,Aero Modifications AMI DC-3-65TP,Priority Air Charter,2,"SE of Kidron-Stoltzfus Airfield, OH",sub
11121,22 Jan 2019,Boeing 737-8LJ (WL),Aeroflot Russian International Airlines,0,Khanty-Mansiysk International Airport (HMA),non
11122,23 Jan 2019,de Havilland Canada DHC-8-102 Dash 8,Air Creebec,0,"Rouyn Airport, QC (YUY)",sub
11123,26 Jan 2019,Airbus A321-231,Onur Air,0,Antalya Airport (AYT),sub
11124,28 Jan 2019,Airbus A320-214 (WL),Frontier Airlines,0,"Denver International Airport, CO (DEN)",sub
11125,28 Jan 2019,Boeing 727-2B6F Adv.,Kalitta Charters,0,"Tuscaloosa Regional Airport, AL (TCL)",sub
11126,28 Jan 2019,ATR 72-212A (ATR 72-500),Air Europa,0,Palma de Mallorca Airport (PMI),sub
11127,29 Jan 2019,Beechcraft B200 King Air,Guardian Flight,3,"32 km W off Kake, AK",dst
11128,30 Jan 2019,Beechcraft 200 Super King Air,Air Tindi,2,"39 km ESE of Whatì/Lac La Martre Airport, NT (YLE)",dst
11129,4 Feb 2019,Boeing 737-332,Tarco Air,0,Khartoum-Civil Airport,non
11130,8 Feb 2019,Airbus A321-251N,Novair,0,Billund Airport (BLL),sub
11131,8 Feb 2019,Convair C-131B Samaritan,Conquest Air Cargo,1,"21 km E off Bay Harbor Islands, FL",dst
11132,9 Feb 2019,Cessna 208 Caravan I,RICO Taxi Aéreo,0,"231 km SSW of Caracaraí, RR",sub
11133,9 Feb 2019,Embraer ERJ 190AR (ERJ-190-100 IGW),Kenya Airways,0,Nairobi-Jomo Kenyatta International Airport (NBO),sub
11134,9 Feb 2019,Embraer ERJ 190AR (ERJ-190-100 IGW),Kenya Airways,0,Nairobi-Jomo Kenyatta International Airport (NBO),sub
11135,11 Feb 2019,Raytheon Beechjet 400A,Stein's Aircraft Services,0,"Richmond Municipal Airport, IN (RID)",sub
11136,13 Feb 2019,Boeing 787-9 Dreamliner,KLM Royal Dutch Airlines,0,Amsterdam-Schiphol International Airport (AMS),min
11137,13 Feb 2019,Boeing 747-406M,KLM Royal Dutch Airlines,0,Amsterdam-Schiphol International Airport (AMS),min
11138,23 Feb 2019,Boeing 767-375ER (BCF) (WL),Amazon Air,3,"Trinity Bay, near Anahuac, TX",dst
11139,24 Feb 2019,Boeing 737-8E9 (WL),Biman Bangladesh Airlines,1,Chittagong-Shah Amanat International Airport (CGP),min
11140,25 Feb 2019,de Havilland Canada EO-5C (DHC-7-102),United States Army,0,Pyongtaek-Desiderio AAF,sub
11141,26 Feb 2019,Gulfstream G200 Galaxy,Silk Way Business Aviation,0,Moskva-Sheremetyevo Airport (SVO),sub
11142,1 Mar 2019,Airbus A320-214,LaudaMotion,0,London-Stansted Airport (STN),sub
11143,3 Mar 2019,Bombardier BD-100 Challenger 350,private,0,"Eufaula-Weedon Field, AL (EUF)",w/o
11144,3 Mar 2019,Airbus A320-214 (WL),Avianca Brasil,0,"Rio de Janeiro/Galeão-Antonio Carlos Jobim International Airport, RJ",sub
11145,3 Mar 2019,Honda HA-420 HondaJet,Banyan Jet Service,0,"Eufaula-Weedon Field, AL (EUF)",w/o
11146,3 Mar 2019,Beechcraft 1900D,Tassili Airlines,0,Ouargla-Ain Beida Airport (OGX),sub
11147,4 Mar 2019,Cessna 208B Grand Caravan,Amik Aviation,0,"1,4 km S of Little Grand Rapids Airport, MB (ZGR)",sub
11148,4 Mar 2019,Embraer EMB-145XR,CommutAir,0,"Presque Isle International Airport, ME (PQI)",sub
11149,7 Mar 2019,Learjet 35A,Baires Fly,0,"Buenos Aires-Jorge Newbery Airport, BA (AEP)",sub
11150,9 Mar 2019,Gulfstream G-IV,Waffle House Inc.,0,"Atlanta-DeKalb Peachtree Airport, GA (PDK)",sub
11151,9 Mar 2019,Douglas DC-3,LASER Aéreo Colombia,14,"Finca La Bendición, San Martín",dst
11152,10 Mar 2019,Bombardier CL-600-2D24 Regional Jet CRJ-900LR,PSA Airlines,0,"Charlotte-Douglas International Airport, NC (CLT)",sub
11153,10 Mar 2019,Bombardier CL-600-2C10 Regional Jet CRJ-702ER,PSA Airlines,0,"Charlotte-Douglas International Airport, NC (CLT)",sub
11154,10 Mar 2019,Hawker Siddeley HS-125-600A,private,1,"near San Pedro Peralta, Chetumal, Quintana Roo",w/o
11155,10 Mar 2019,Boeing 737 MAX 8,Ethiopian Airlines,157,50 km ESE of Addis Ababa-Bole Airport (ADD),dst
11156,11 Mar 2019,de Havilland Canada CC-138 Twin Otter (DHC-6),Royal Canadian Air Force - RCAF,0,"140 km N Inuvik, NT",sub
11157,12 Mar 2019,Beechcraft A100 King Air,Golden Wings Aviation Inc.,0,"Latrobe-Westmoreland County Airport, PA (LBE)",sub
11158,14 Mar 2019,Cessna 650 Citation III,RP Sales and Leasing Inc.,0,"Orlando Sanford International Airport, FL (SFB)",sub
11159,18 Mar 2019,IAI 1124 Westwind,Sundance Airport FBO LLC,2,"Oklahoma City-Sundance Airport, OK (HSD)",dst
11160,18 Mar 2019,Bombardier BD-100-1A10 Challenger 300,Berjaya Air,0+1,Kuala Lumpur-Sultan Abdul Aziz Shah Airport (SZB),sub
11161,19 Mar 2019,Fokker 100,Iran Air,0,Tehran-Mehrabad Airport (THR),sub
11162,22 Mar 2019,Rockwell Sabreliner 60,private,0,ca 14 km E of Bajamar,dst
11163,23 Mar 2019,Airbus A320-232,Wizz Air,0,Bristol Airport (BRS),min
11164,23 Mar 2019,Beechcraft B200 Super King Air,Major Blue Air,1,Matsieng Aerodrome,dst
11165,27 Mar 2019,Boeing 737-7H4 (WL),Southwest Airlines,0,"near Nashville International Airport, TN (BNA)",sub
11166,27 Mar 2019,Antonov An-2,Empresa Nacional de Servicios Aéreos-ENSA,0,Alonso de Rojas,sub
11167,3 Apr 2019,Airbus A320-214,easyJet,0,Belfast International Airport (BFS),min
11168,4 Apr 2019,McDonnell Douglas MD-88,Delta Air Lines,0,"Atlanta Hartsfield-Jackson International Airport, GA (ATL)",sub
11169,4 Apr 2019,de Havilland Canada DHC-8-402Q Dash 8,Austrian Airlines,0,Innsbruck-Kranebitten Airport (INN),sub
11170,8 Apr 2019,British Aerospace 4100 Jetstream 41,Sky High Aviation Services,0,Dominica Douglas-Charles Airport (DOM),sub
11171,10 Apr 2019,Airbus A321-231 (WL),American Airlines,0,"New York-John F. Kennedy International Airport, NY (JFK)",sub
11172,13 Apr 2019,Rockwell Sabreliner 65,Classic Aviation,3,"near New Albany, MS",dst
11173,14 Apr 2019,Let L-410UVP-E20,Summit Air,1+2,Lukla-Tenzing-Hillary Airport (LUA),w/o
11174,16 Apr 2019,Bombardier BD-700-1A11 Global 5000,Luftwaffe,0,Berlin-Schönefeld Airport (SXF),sub
11175,16 Apr 2019,Pilatus Britten-Norman BN-2B-27 Islander,Archipiélagos Servicios Aéreos,6,"0,4 km W of Puerto Montt-Marcel Marchant Airport",dst
11176,22 Apr 2019,Antonov An-26,Asia Airways,0,64 km from Khartoum,sub
11177,23 Apr 2019,Cessna 208 Caravan I,private,0,"Dry Tortugas National Park, FL",sub
11178,24 Apr 2019,Beechcraft B200 Super King Air,Keewatin Air,0,"Gillam Airport, MB (YGX)",sub
11179,24 Apr 2019,Cessna 551 Citation II/SP,private,0,Siegen-Siegerland Airport (SGE),sub
11180,30 Apr 2019,Boeing 737-33A (WL),Jet2,0,East Midlands Airport (EMA),sub
11181,30 Apr 2019,Boeing 737-73S (WL),Ryanair,0,East Midlands Airport (EMA),sub
11182,3 May 2019,Douglas C-47A-25-DK (DC-3C),Buffalo Airways,0,"6,5 km SE of Hay River Airport, NT (YHY)",sub
11183,3 May 2019,Boeing 737-81Q (WL),Miami Air International,0,"Jacksonville Naval Air Station, FL (NIP)",sub
11184,4 May 2019,Antonov An-2R,Voskhod LLC,0,"Vyun, Tomponsky region",sub
11185,4 May 2019,Learjet 45,Skyservice Business Aviation,0,Edinburgh-Turnhouse Airport (EDI),unk
11186,5 May 2019,Canadair CL-600-2B16 Challenger 601-3A,Compañia de Aviación y Logística Empresarial,13,257 km NW of Monclova,dst
11187,5 May 2019,Sukhoi Superjet 100-95B,Aeroflot Russian International Airlines,41,Moskva-Sheremetyevo Airport (SVO),dst
11188,7 May 2019,Antonov An-2R,private,0,13 km from Uriman Airport (URM),w/o
11189,7 May 2019,de Havilland Canada DHC-6 Twin Otter 300,Air Inuit,0,"57 km NNE of Kuujjuarapik Airport, QC (YGW)",sub
11190,8 May 2019,de Havilland Canada DHC-8-402Q Dash 8,Biman Bangladesh Airlines,0,Yangon-Mingaladon Airport (RGN),w/o
11191,10 May 2019,de Havilland Canada DHC-8-311 Dash 8,Air Canada Express,0,"Toronto-Pearson International Airport, ON (YYZ)",sub
11192,11 May 2019,Cessna 208B Supervan 900,Parachutisme Nouvel Air,0,"Saint-Esprit Aerodrome, QC",sub
11193,12 May 2019,Embraer ERJ-190LR,Myanmar National Airlines,0,Mandalay International Airport (MDL),min
11194,13 May 2019,de Havilland Canada DHC-3T Vazar Turbine Otter,Taquan Air,1+5,"15 km NE of Ketchikan, AK",sub
11195,18 May 2019,Gulfstream American G-1159 Gulfstream II SP,private,0,"Chico de Chamorro, Retalhuleu",w/o
11196,22 May 2019,Cessna S550 Citation S/II,private,2,"near Indianapolis Regional Airport, IN (KMQJ)",dst
11197,22 May 2019,Antonov An-2R,private,0,Zhuravskoye,w/o
11198,24 May 2019,Cessna 560 Citation Encore,Jet Sales LLC,1,"500 km E off Fort Lauderdale, Florida, USA",w/o
11199,29 May 2019,Antonov An-124-100,Libyan Air Cargo,0,Tripoli International Airport (TIP),w/o
11200,3 Jun 2019,Antonov An-32,Indian Air Force - IAF,13,16 km N of Lipo,dst
11201,7 Jun 2019,Antonov An-2T,TSO Ukrayiny,0,"Svyatoshyns'kyi District, Kiev",sub
11202,9 Jun 2019,Boeing 737-924ER (WL),United Airlines,0,"Denver International Airport, CO (DEN)",sub
11203,9 Jun 2019,Antonov An-2R,Feniks,0,"50 km NE of Kyren, Tunkinsky District",sub
11204,11 Jun 2019,CASA C-212 Aviocar 200,EP Aviation,0,Kiunga Airport (KIU),sub
11205,13 Jun 2019,Beechcraft B200 Super King Air,Unknown,0,"Río Chixoy, La Máquina",w/o
11206,15 Jun 2019,ATR 42-320,MAP Linhas Aéreas,0,"Manaus-Eduardo Gomes International Airport, AM (MAO)",sub
11207,15 Jun 2019,Boeing 757-224 (WL),United Airlines,0,"Newark-Liberty International Airport, NJ (EWR)",sub
11208,17 Jun 2019,Boeing 737-8H4 (WL),Southwest Airlines,0,"Pittsburgh-Greater Pittsburgh International Airport, PA (PIT)",sub
11209,17 Jun 2019,Cessna 680 Citation Sovereign,Banco Macro,0,"Joaquín V. González-Agropecuaria Río Juramento Airstrip, SA",sub
11210,20 Jun 2019,Antonov An-2R,Navigator,1,"10 km from Rodina village, Tselinograd district",w/o
11211,21 Jun 2019,Basler BT-67 Turbo 67 (DC-3T),North Star Air,0,"off Fort Hope Airport, ON (YFH)",sub
11212,23 Jun 2019,Antonov An-2R,Phoenix Air LLC,0,"near Mlyny, Poltava region",dst
11213,24 Jun 2019,Hawker Siddeley HS-125-400,Unknown,0,"Parque Nacional Laguna del Tigre, Petén",w/o
11214,26 Jun 2019,Rockwell Sabreliner 65,Yankee Dawdle LLC,0,"Sacramento-McClellan Airfield, CA (MCC)",min
11215,27 Jun 2019,British Aerospace 3212 Jetstream 31,Transmandu,0,Canaima Airport (CAJ),dst
11216,27 Jun 2019,Antonov An-24RV,Angara Airlines,2,Nizhneangarsk Airport,w/o
11217,28 Jun 2019,Saab 340A,Western Air,0,Nassau-Lynden Pindling International Airport (NAS),sub
