,acc. date,type,operator,fat.,location,dmg
0,5 Jan 1972,Douglas C-47B-20-DK Dakota 4MFP,McKenzie Air,0,"Norman Wells Airport, NT (YVQ)",sub
1,6 Jan 1972,Hawker Siddeley HS-748-230 Srs. 2A,SAESA - Servicios Aéreos Especiales SA,23,40 km NW of Chetumal,w/o
2,7 Jan 1972,Boeing 727-200,Pacific Southwest Airlines - PSA,0,Havana-José Martí International Airport (HAV),non
3,7 Jan 1972,Sud Aviation SE-210 Caravelle VI-R,Iberia,104,ca 15 km W of Ibiza Airport (IBZ),dst
4,7 Jan 1972,Convair CV-340-68B,Saudi Arabian Airlines,0,Jeddah International Airport,w/o
5,8 Jan 1972,de Havilland Canada U-1A Otter (DHC-3),Khmer Air Force,n/a,within Cambodia,w/o
6,9 Jan 1972,Lockheed L-188A Electra,Air Manila International,0,Manila International Airport (MNL),w/o
7,12 Jan 1972,Boeing 727,Braniff International Airways,0,"Dallas-Love Field, TX (DAL)",unk
8,15 Jan 1972,Lockheed EC-130G Hercules,United States Navy,0,"near Patuxent River-NAS, MD (NHK)",w/o
9,15 Jan 1972,Lockheed KC-130F Hercules,United States Marine Corps,n/a,"Lake City, FL",w/o
10,18 Jan 1972,Learjet 25,Tandy Corp.,9,"3,1 km NW of Victoria County-Foster Airport, TX (VCT)",w/o
11,20 Jan 1972,McDonnell Douglas DC-9-31,Hughes Airwest,0,"Las Vegas-McCarran International Airport, NV (LAS)",non
12,21 Jan 1972,Vickers 837 Viscount,Lineas Aéreas La Urraca,20,ca 3 km NW of Bogotá-Eldorado Airport (BOG),dst
13,21 Jan 1972,Douglas C-47 (DC-3),SATENA,39,near Betania,dst
14,21 Jan 1972,McDonnell Douglas DC-9-32,Türk Hava Yollari - THY,1,near Adana Airport (ADA),dst
15,25 Jan 1972,Yakovlev Yak-40,Bakhtar Afghan Airlines,0,near Khost Airport (KHT),sub
16,26 Jan 1972,de Havilland Canada U-1A Otter (DHC-3),Khmer Air Force,n/a,near Phnom Penh-Pochentong Airport (PNH),w/o
17,26 Jan 1972,IRMA/Britten-Norman BN-2A Islander,Air Malawi,0,Usisya,sub
18,26 Jan 1972,Britten-Norman BN-2 Islander,Air Botswana,0,Maun Airport (MUB),w/o
19,26 Jan 1972,Fairchild FH-227B,Mohawk Airlines,1,"Poughkeepsie-Dutchess County Airport, NY (POU)",unk
20,26 Jan 1972,McDonnell Douglas DC-9-32,Jugoslovenski Aerotransport - JAT,27,near Ceské Kamenice,dst
21,28 Jan 1972,Vickers 814 Viscount,Airwork,0,Bournemouth International Airport (BOH),sub
22,28 Jan 1972,Vickers VC10-1100,British Caledonian Airways,0,London-Gatwick Airport (LGW),w/o
23,29 Jan 1972,Grumman C-2A Greyhound,United States Navy,2,Mediterranean Sea,w/o
24,29 Jan 1972,Boeing 707,Trans World Airlines - TWA,0,"New York-John F. Kennedy International Airport, NY (JFK)",unk
25,30 Jan 1972,de Havilland Canada DHC-6 Twin Otter 200,Interior Airways,0,"Fairbanks International Airport, AK (FAI)",w/o
26,1 Feb 1972,Dornier Do 28D-1 Skyservant,Aeroactividades Venezolanas - Aeroven,0,"Salvación mine, Cedeño",w/o
27,1 Feb 1972,Avia 14-40,CSA Ceskoslovenské Aerolinie,0,Karlovy Vary Airport (KLV),w/o
28,1 Feb 1972,VFW/Fokker VFW.614,VFW-Fokker,1,near Bremen Airport (BRE),w/o
29,1 Feb 1972,Douglas DC-6,PENAS,6,near Tegal,w/o
30,4 Feb 1972,de Havilland Canada C-7A Caribou (DHC-4),Air America,2,Pha Khao,w/o
31,4 Feb 1972,Hawker Siddeley HS-748-235 Srs. 2A,Varig,0,"Porto Alegre Airport, RS (POA)",w/o
32,4 Feb 1972,Convair CV-340-68B,Saudi Arabian Airlines,0,Jahran area,w/o
33,5 Feb 1972,Fairchild F-27,TAC Colombia,19,near Valledupar Airport (VUP),w/o
34,9 Feb 1972,Curtiss C-46F-1-CU Commando,"Continental Air Services, Inc. - CASI",5,17 km WSW of Long Tieng,w/o
35,10 Feb 1972,Douglas DC-3,Biman Bangladesh Airlines,5,near Dhaka,w/o
36,11 Feb 1972,Douglas C-54A-DO (DC-4),Royal Air Lao,23,between Savannakhet and Vientiane,mis
37,18 Feb 1972,Learjet 25B,Olympic Airways,2,"7,4 km off Nice-Côte d'Azur Airport (NCE)",dst
38,19 Feb 1972,Sud-Aviation SE-210 Caravelle,Alia Royal Jordanian Airlines,0,Amman-Marka International Airport (ADJ),unk
39,19 Feb 1972,Lockheed C-130E Hercules,United States Air Force - USAF,5,"5 km E of Jacksonville-Little Rock AFB, AR (LRF)",w/o
40,20 Feb 1972,Dassault Falcon 20D,Fred-Air,0,near St. Moritz-Samedan Airport (SMV),w/o
41,22 Feb 1972,Boeing 747-230B,Lufthansa,0,Aden,unk
42,22 Feb 1972,Antonov An-24,"Aeroflot, Moscow Civil Aviation Directorate",0,near Lipetsk Airport (LPK),w/o
43,23 Feb 1972,Antonov An-2,Unknown,1,within Bulgaria,w/o
44,27 Feb 1972,Antonov An-24B,"Aeroflot, North Kavkaz Civil Aviation Directorate",0,2 km NW of Mineralnye Vody Airport (MRV),w/o
45,1 Jan 1970,Antonov An-10,Aeroflot / Ukraine,n/a,Rostov Airport (ROV),w/o
46,1 Jan 1970,Douglas C-47A-80-DL (DC-3),Ejército del Aire,n/a,unknown,w/o
47,1 Mar 1972,Dassault Falcon 20F,Finnwings,0,"Montreal-Dorval International Airport, QC (YUL)",w/o
48,3 Mar 1972,Fairchild FH-227B,Mohawk Airlines,16+1,"6 km S of Albany Airport, NY (ALB)",w/o
49,7 Mar 1972,Grumman G-73 Mallard,Chalk's International Airlines,0,Havana-José Martí International Airport (HAV),unk
50,7 Mar 1972,Boeing 727,National Airlines,0,unknown,unk
51,8 Mar 1972,Boeing 707-331,Trans World Airlines - TWA,0,"Las Vegas-McCarran International Airport, NV (LAS)",w/o
52,11 Mar 1972,Sud-Aviation SE-210 Caravelle,Alitalia,0,Munich,unk
53,13 Mar 1972,Boeing KC-135A Stratotanker,United States Air Force - USAF,5,"Fort Worth-Carswell AFB, TX (FWH)",w/o
54,14 Mar 1972,Fairchild C-119 Flying Boxcar,Republic of China Air Force - ROCAF,39,near Linkou,w/o
55,14 Mar 1972,Douglas C-47-DL (DC-3),Aerotaxis Ecuatorianos SA - ATESA,6,Sangay Volcano,w/o
56,14 Mar 1972,Sud Aviation SE-210 Caravelle 10B3,Sterling Airways,112,ca 20 km W of Kalba,dst
57,14 Mar 1972,Douglas C-47D (DC-3),United States Air Force - USAF,4,"Lake Charles AFB, LA (CWF)",w/o
58,15 Mar 1972,de Havilland Canada U-1A Otter (DHC-3),Khmer Air Force,n/a,within Cambodia,w/o
59,19 Mar 1972,McDonnell Douglas DC-9-32,Inex-Adria Aviopromet,30,7 km SW of Aden International Airport (ADE),dst
60,19 Mar 1972,Tupolev Tu-104B,"Aeroflot, East Siberia Civil Aviation Directorate",0,Omsk Airport (OMS),w/o
61,19 Mar 1972,Lockheed L-188CF Electra,Universal Airlines,0,"Ogden-Hill AFB, UT (HIF)",w/o
62,21 Mar 1972,de Havilland Canada U-1A Otter (DHC-3),Khmer Air Force,0,Phnom Penh-Pochentong Airport (PNH),w/o
63,21 Mar 1972,de Havilland Canada U-1A Otter (DHC-3),Khmer Air Force,0,Phnom Penh-Pochentong Airport (PNH),w/o
64,21 Mar 1972,de Havilland Canada U-1A Otter (DHC-3),Khmer Air Force,0,Phnom Penh-Pochentong Airport (PNH),w/o
65,26 Mar 1972,Antonov An-2R,"Aeroflot, Privolzhsk Civil Aviation Directorate",0,Sterlitamak,w/o
66,27 Mar 1972,Antonov An-2,Aeroflot / Ukraine,1,Voroshilovgrad,w/o
67,28 Mar 1972,Lockheed AC-130A Spectre,United States Air Force - USAF,14,16 km W of Tchepone,dst
68,29 Mar 1972,de Havilland DH-114 Riley Heron 2D,Air Pacific,0,"350 km off Hawaii, USA",w/o
69,30 Mar 1972,Lockheed AC-130E Spectre,United States Air Force - USAF,0,21 km S of Saravane,w/o
70,5 Apr 1972,Vickers Viscount,Merpati Nusantara Airlines,1,Yogyakarta,unk
71,6 Apr 1972,Curtiss C-46F-1-CU Commando,AVENSA,2,near San Fernando,w/o
72,7 Apr 1972,Boeing 727,United Airlines,0,"San Francisco International Airport, CA (SFO)",non
73,8 Apr 1972,Boeing 727,Faucett Perú,0,unknown,unk
74,8 Apr 1972,Hawker Siddeley HS-780 Andover C.1,Royal Air Force - RAF,4,Siena/Ampugnano Airport (SAY),dst
75,9 Apr 1972,Boeing 727,Pacific Southwest Airlines - PSA,0,"San Diego International Airport, CA (SAN)",non
76,10 Apr 1972,Douglas DC-6B,Inair Panama,0,"Manaus, AM",w/o
77,11 Apr 1972,Antonov An-2T,"Aeroflot, Yakutsk Civil Aviation Directorate",1,"Yukagir Village, Ust'-Yanskiy rayon",w/o
78,11 Apr 1972,Douglas C-47B-15-DK (DC-3),Trans Australia Airlines - TAA,0,Madang Airport (MAG),sub
79,12 Apr 1972,Douglas EC-47Q,United States Air Force - USAF,n/a,Da Nang Air Base (DAD),w/o
80,12 Apr 1972,NAMC YS-11A-211,VASP - Viação Aérea São Paulo,25,"50 km N of Rio de Janeiro, RJ",dst
81,13 Apr 1972,Consolidated C-10A Catalina (PBY-5A),Força Aérea Brasileira - FAB,2,"Humaitá, AM",w/o
82,13 Apr 1972,Douglas EC-47P,United States Air Force - USAF,n/a,Da Nang Air Base,w/o
83,13 Apr 1972,Boeing 737-214,Frontier Airlines (FL),0,"Los Angeles International Airport, CA (LAX)",non
84,14 Apr 1972,Douglas DC-3A,Transporte Aéreo Militar - TAM,n/a,La Paz ?,w/o
85,14 Apr 1972,Shorts SC.7 Skyvan 3-300,Viking International Air Freight,1,"near La Crosse Municipal Airport, WI (LSE)",w/o
86,16 Apr 1972,Fokker F-27 Friendship 200,Aero Trasporti Italiani - ATI,18,near Ardinello di Amaseno,w/o
87,16 Apr 1972,de Havilland DH-114 Heron,Prinair,0,unknown,unk
88,17 Apr 1972,Antonov An-2R,"Aeroflot, Privolzhsk Civil Aviation Directorate",2,"Vyyezdnoye, Arzamas district",w/o
89,17 Apr 1972,McDonnell Douglas DC-9-32,Swissair,0,Roma-Ciampino Airport (CIA),non
90,17 Apr 1972,Boeing 727,Alaska Airlines,0,unknown,unk
91,17 Apr 1972,Convair CV-880-22-2,Delta Air Lines,0,"Chicago-O'Hare International Airport, IL (ORD)",non
92,18 Apr 1972,Let L-410A,Slov-Air,0,Nürnberg Airport (NUE),min
93,18 Apr 1972,Vickers Super VC10-1154,East African Airways Corp. - EAAC,43,Addis Ababa-Bole Airport (ADD),w/o
94,18 Apr 1972,Lockheed C-130E Hercules,United States Air Force - USAF,0,near Lai Khe,w/o
95,20 Apr 1972,Douglas C-47D (DC-3),Servicio Aéreo de Transportes Comerciales - SATCO,6,near Moyobamba,w/o
96,22 Apr 1972,Curtiss C-46 Super C,Transportes Aéreos Benianos - TABSA,n/a,El Desengano,w/o
97,24 Apr 1972,Douglas C-47 (DC-3),Fuerza Aérea Colombiana,0,near Bogotá-Eldorado Airport (BOG),sub
98,26 Apr 1972,Lockheed C-130E Hercules,United States Air Force - USAF,6,"1,5 km SW of An Loc",w/o
99,30 Apr 1972,Antonov An-10,Aeroflot / Ukraine,0,Moskva-Vnukovo Airport (VKO),w/o
100,2 May 1972,Fairchild AC-119K Stinger,United States Air Force - USAF,3,8 km from An Loc,w/o
101,3 May 1972,Douglas C-124C Globemaster II,Air National Guard,11,68 km SE of Paramaribo-Zanderij International Airport (PBM),w/o
102,3 May 1972,McDonnell Douglas DC-9-32,Türk Hava Yollari - THY,0,Sofia,unk
103,3 May 1972,Lockheed C-130E Hercules,United States Air Force - USAF,6,"1,5 km NE of An Loc",w/o
104,4 May 1972,Yakovlev Yak-40,"Aeroflot, East Siberia Civil Aviation Directorate",18,"1,2 km from Bratsk Airport (BTK)",dst
105,5 May 1972,Antonov An-2R,Aeroflot / Ukraine,2,Poltava Region,w/o
106,5 May 1972,de Havilland Canada U-1A Otter (DHC-3),Khmer Air Force,0,Phnom Penh-Pochentong Airport (PNH),w/o
107,5 May 1972,Boeing 727,Eastern Air Lines,0,unknown,non
108,5 May 1972,Boeing 737-200,Western Air Lines,0,Havana-José Martí International Airport (HAV),non
109,5 May 1972,Douglas DC-8-43,Alitalia,115,5 km SW of Palermo,dst
110,6 May 1972,Fairchild C-119 Flying Boxcar,Indian Air Force - IAF,4,unknown,w/o
111,7 May 1972,Handley Page HPR-7 Herald 101,Lineas Aéreas La Urraca,0,"0,9 km from Valledupar Airport (VUP)",w/o
112,8 May 1972,Antonov An-2R,Aeroflot / Tajikistan,2,"Argyz district, Tatarstan",w/o
113,8 May 1972,Douglas VC-47J (DC-3),Aerotécnica,6,ca 150 km W of Ciudad Bolívar,w/o
114,8 May 1972,Boeing 707-329,Sabena,3,Tel Aviv-Lod International Airport (TLV),unk
115,10 May 1972,Fokker F-27 Friendship 400M,Sudan Airways,0,El Obeid Airport (EBD),w/o
116,12 May 1972,Antonov An-2TP,"Aeroflot, East Siberia Civil Aviation Directorate",0,near Kirensk,w/o
117,12 May 1972,Hindustan Aeronautics Ltd. HAL-748-224 Srs. 2,Indian Airlines,0,Cochin Airport (COK),sub
118,12 May 1972,Lockheed 18 Learstar,Carolina Aircraft Corp.,8,"Okeechobee, FL",w/o
119,13 May 1972,de Havilland Canada U-1A Otter (DHC-3),Khmer Air Force,n/a,unknown,w/o
120,13 May 1972,de Havilland Canada U-1A Otter (DHC-3),Khmer Air Force,n/a,within Cambodia,w/o
121,16 May 1972,Antonov An-24T,Soviet Navy,8+25,Svetlogorsk,dst
122,17 May 1972,Lockheed C-130E Hercules,United States Air Force - USAF,4,near Kontum Airport (KON),w/o
123,18 May 1972,McDonnell Douglas DC-9-31,Eastern Air Lines,0,"Fort Lauderdale International Airport, FL (FLL)",w/o
124,18 May 1972,Antonov An-10A,Aeroflot / Ukraine,122,24 km from Kharkov Airport (HRK),dst
125,21 May 1972,Fokker F-27 Friendship 200,DTA-Direcção de Exploração dos Transp. Aéreos,22,3 km NW off Lobito Airport,w/o
126,23 May 1972,Douglas DC-6,Ecuatoriana (Compañia Ecuatoriana de Aviacion),1,Quito-Mariscal Sucre Airport (UIO),unk
127,23 May 1972,Lockheed C-130E Hercules,United States Air Force - USAF,0,Kontum Airport (KON),w/o
128,24 May 1972,Boeing 727-44,South African Airways - SAA,0,Blantyre-Chileka Airport (BLZ),unk
129,25 May 1972,Boeing 727-116,LAN Chile,0,near Montego Bay,min
130,26 May 1972,Higgins Boat Co. C-46A-1-HI Commando,Servicios Aéreos Bolivianos - SAB,0,La Paz-El Alto Airport (LPB),sub
131,26 May 1972,Lockheed P-3A Orion,United States Navy,8,off California,mis
132,26 May 1972,Antonov An-12AP,Soviet Air Force,5,Panevézys,w/o
133,27 May 1972,de Havilland Canada DHC-6 Twin Otter 100,General Air,8,Helgoland Airport (HGL),w/o
134,28 May 1972,Boeing 707,Olympic Airways,0,Athens,unk
135,29 May 1972,Lockheed L-149 Constellation,Amazonese Importação e Exportação,9,"near Cruzeiro do Sul, AC",w/o
136,30 May 1972,Lockheed L-188A Electra,Varig,1,"São Paulo-Congonhas Airport, SP (CGH)",unk
137,30 May 1972,Douglas DC-9-14,Delta Air Lines,4,"Fort Worth-Greater Southwest Airport, TX (GSW)",w/o
138,2 Jun 1972,Boeing 727,United Airlines,0,"Reno, NV",unk
139,2 Jun 1972,Boeing 727,Western Air Lines,0,Algiers,unk
140,3 Jun 1972,Lockheed P-3A Orion,United States Navy,14,near Jebel Musa,w/o
141,5 Jun 1972,Curtiss C-46A-45-CU Commando,Air America,32,near Pleiku,w/o
142,5 Jun 1972,Lockheed C-130E Hercules,United States Air Force - USAF,6,off Magong AFB (MZG),w/o
143,5 Jun 1972,Lockheed C-130D Hercules,United States Air Force - USAF,1,DYE 3 Airstrip,w/o
144,8 Jun 1972,Let L-410A,Slov-Air,1,Weiden,non
145,12 Jun 1972,McDonnell Douglas DC-10-10,American Airlines,0,"near Windsor, ON",sub
146,13 Jun 1972,Douglas C-47 (DC-3),Fuerza Aérea Mexicana,4,70 km from Compostela,w/o
147,13 Jun 1972,Curtiss C-46D-15-CU Commando,Aerolineas Flecha Austral - ALFA,3,near Santiago-Pudahuel Airport (SCL),w/o
148,14 Jun 1972,Douglas DC-8-53,Japan Air Lines - JAL,82+4,ca 20 km E of Delhi-Palam Airport (DEL),dst
149,15 Jun 1972,Antonov An-2R,"Aeroflot, Northern Civil Aviation Directorate",2,near Rechka,w/o
150,15 Jun 1972,Convair CV-880-22M-21,Cathay Pacific Airways,81,55 km SE of Pleiku,dst
151,15 Jun 1972,IRMA/Britten-Norman BN-2A-3 Islander,Transportes Aéreos de Tete,0,Baué,w/o
152,16 Jun 1972,Ilyushin Il-62,EgyptAir,0,Cairo-Almaza Air Base (HEAZ),w/o
153,18 Jun 1972,Lockheed AC-130A Spectre,United States Air Force - USAF,12,W of A Shau Valley,dst
154,18 Jun 1972,Hawker Siddeley HS-121 Trident 1C,British European Airways - BEA,118,near Staines,dst
155,23 Jun 1972,Boeing 727,American Airlines,0,"Saint Louis-Lambert International Airport, MO (STL)",unk
156,24 Jun 1972,de Havilland DH-114 Prinair Heron 2B,Prinair,5,Ponce-Mercedita Airport (PSE),dst
157,26 Jun 1972,de Havilland DH-114 Sea Heron C.1,Royal Navy - Fleet Air Arm (FAA),0,Irish Sea,w/o
158,28 Jun 1972,Antonov An-2R,Aeroflot / Ukraine,0,near Kzyl-Orda,w/o
159,28 Jun 1972,Antonov An-2R,"Aeroflot, East Siberia Civil Aviation Directorate",4,6 km from Shiringa,w/o
160,29 Jun 1972,Antonov An-2R,"Aeroflot, Kazakstan Civil Aviation Directorate",1,"Astrakhanka district, Tselinograd region",w/o
161,29 Jun 1972,MBB HFB-320 Hansa Jet,Inter City Flug,7,Blackpool Airport (BLK),w/o
162,29 Jun 1972,Convair CV-580,North Central Airlines,5+8,"ca. 8 km S of Appleton, WI",dst
163,29 Jun 1972,de Havilland Canada DHC-6 Twin Otter 100,Air Wisconsin,8+5,"ca. 8 km S of Appleton, WI",w/o
164,30 Jun 1972,Boeing C-135F Stratotanker,L'Armée de L'Air,6,ca 4 km NW off Hao Island Airport (HOI),dst
165,30 Jun 1972,McDonnell Douglas DC-9,Hughes Airwest,0,unknown,unk
166,1 Jan 1970,Douglas C-47B-1-DK (DC-3),Força Aérea Brasileira - FAB,0,"Porto Alegre, RS",w/o
167,1 Jul 1972,Lockheed P-2H Neptune,United States Navy,n/a,"South Weymouth Naval Air Station, MA (NZW)",w/o
168,2 Jul 1972,Boeing 747-100,Pan American World Airways (Pan Am),1,Saigon-Tan Son Nhat International Airport (SGN),unk
169,2 Jul 1972,Douglas C-47B-15-DK (DC-3),Rousseau Aviation,n/a,Kulusuk Airport (KUS),w/o
170,5 Jul 1972,Boeing 707,American Airlines,0,"Buffalo-Greater Buffalo International Airport, NY (BUF)",non
171,5 Jul 1972,Boeing 737-200,Pacific Southwest Airlines - PSA,3,"San Francisco International Airport, CA (SFO)",unk
172,6 Jul 1972,Boeing 727,Pacific Southwest Airlines - PSA,0,"Oakland International Airport, CA (OAK)",unk
173,6 Jul 1972,Douglas DC-8-52,Aviaco,10,"21 km E off Arinaga, Las Palmas, Canary Islands",dst
174,7 Jul 1972,Lockheed 18 Learstar,Lost River Mining Corp.,0,"Wales Airport, AK (WAA)",w/o
175,7 Jul 1972,Douglas DC-3,Cambodia Air Commercial,0,Kompong Som Airport (KOS),w/o
176,8 Jul 1972,Tupolev Tu-134,"Aeroflot, Northern Civil Aviation Directorate",0,Murmansk Airport (MMK),dst
177,9 Jul 1972,Hindustan Aeronautics Ltd. HAL-748-224 Srs. 2,Indian Airlines,0,Belgaum-Sambre Airport (IXG),sub
178,10 Jul 1972,Boeing 737,Lufthansa,0,München-Riem Airport (MUC),non
179,10 Jul 1972,Douglas C-47B-30-DK (DC-3),Saudi Arabian Airlines,0,Tabuk Airport (TUU),sub
180,11 Jul 1972,Britten-Norman BN-2A-6 Islander,Pars Air,0,Bandar-e-Ganaveh,w/o
181,11 Jul 1972,Antonov An-2,"Aeroflot, Far East Civil Aviation Directorate",2,Okha,w/o
182,11 Jul 1972,de Havilland Canada DHC-6 Twin Otter 100,Royal Norwegian Air Force - RNoAF,17,15 km NNW of Harstad,w/o
183,12 Jul 1972,Boeing B-17G,Black Hills Aviation,2,"Socorro, NM",w/o
184,12 Jul 1972,Boeing 727,National Airlines,0,"Lake Jackson, TX",unk
185,12 Jul 1972,unknown,Union de Transports Aériens - UTA,0,Abidjan-Felix Houphouet Boigny Airport (ABJ),unk
186,12 Jul 1972,Boeing 727,American Airlines,0,"Oklahoma City-Will Rogers Airport, OK (OKC)",unk
187,15 Jul 1972,Britten-Norman BN-2A Islander,Air Gabon,1,near Nkan,dst
188,16 Jul 1972,de Havilland Canada DHC-3 Otter,BC Yukon Air Service,2,"58 km NW of Nahanni Butte, NWT",w/o
189,17 Jul 1972,Lockheed P-2H Neptune,United States Navy,n/a,off Roosevelt Roads-Roosevelt NAS (NRR),w/o
190,17 Jul 1972,Douglas C-47A-1-DK (DC-3),Ansett Airlines of Papua New Guinea,0,Wapenamanda Airport (WBM),w/o
191,17 Jul 1972,Tupolev Tu-134A,GosNII GA,0,near Moskva-Sheremetyevo Airport (SVO),sub
192,18 Jul 1972,Fairchild AC-119G Flying Boxcar,Republic of China Air Force - ROCAF,n/a,unknown,w/o
193,18 Jul 1972,Vickers 785D Viscount,Aerolíneas TAO,1,145 km SE of San Andrés,non
194,19 Jul 1972,Antonov An-2R,"Aeroflot, North Kavkaz Civil Aviation Directorate",1,7 km W of Yenotayevka,dst
195,19 Jul 1972,BAC One-Eleven 501EX,British Caledonian Airways,1,Kerkyra Airport (CFU),sub
196,20 Jul 1972,Canadair CC-106 Yukon (CL-44),Aerotransportes Entre Rios - AER,6,near Santiago,mis
197,21 Jul 1972,Douglas C-53 (DC-3),Acme Leasing / K. Knight,0,Pivijay,w/o
198,25 Jul 1972,Curtiss CW-20 (C-46),Transportes Aéreos Benianos - TABSA,0,San Pedro Richard Airport,w/o
199,25 Jul 1972,de Havilland Canada DHC-6 Twin Otter 300,Air America,3,NE of Tha Tam Bleung,w/o
200,26 Jul 1972,Lockheed P2V-7 Neptune,Japan Maritime Self Defence Force - JMSDF,8,Kanoya,w/o
201,27 Jul 1972,Consolidated P4Y-2 Privateer,Hawkins & Powers Aviation,0,"Wenatchee-Pangborn Field, WA (EAT)",w/o
202,28 Jul 1972,Antonov An-2T,"Aeroflot, Yakutsk Civil Aviation Directorate",0,near Ust-Kuyga,w/o
203,29 Jul 1972,Douglas DC-3A,Avianca,21+17,near Las Palomas,dst
204,29 Jul 1972,Douglas DC-3A,Avianca,17+21,near Las Palomas,dst
205,31 Jul 1972,Douglas C-47A-25-DK (DC-3),Jamair,0,Ambari Falakata Airport,sub
206,31 Jul 1972,McDonnell Douglas DC-8,Delta Air Lines,0,Algiers,unk
207,3 Aug 1972,Howard Super Ventura,Beta Leasing Inc.,0,"Austin-Robert Mueller Municipal, TX (AUS)",w/o
208,4 Aug 1972,Ilyushin Il-14M,"Aeroflot, Yakutsk Civil Aviation Directorate",0,6 km from Aldan Airport (ADH),dst
209,4 Aug 1972,Douglas C-47B-15-DK (DC-3),South African Air Force - SAAF,0,near Swartkop AFB,w/o
210,4 Aug 1972,Douglas DC-3-454,Mercer Airlines,0,"Point Mugu, CA",w/o
211,8 Aug 1972,Lockheed 18-56-24 Lodestar,American Philippine Indonesian Malaysian Enterprises,0,Cebu Airport (CEB),w/o
212,12 Aug 1972,Lockheed C-130E Hercules,United States Air Force - USAF,30,near Soc Trang (SOA),w/o
213,12 Aug 1972,Fokker F-27 Friendship 100,Indian Airlines,18,"1,5 km S of Delhi-Palam Airport (DEL)",dst
214,13 Aug 1972,Boeing 707-321,Jugoslovenski Aerotransport - JAT,0,"New York-John F. Kennedy International Airport, NY (JFK)",sub
215,13 Aug 1972,Antonov An-2T,"Aeroflot, Far East Civil Aviation Directorate",0,near Yuzhno-Sakhalinsk,w/o
216,14 Aug 1972,Ilyushin Il-62,Interflug,156,Königs Wusterhausen,dst
217,15 Aug 1972,Consolidated 28-5AC Catalina,James E. Stewart,0,"1,1 km E off Monte Carlo",w/o
218,15 Aug 1972,BAC One-Eleven 521FH,Austral Lineas Aéreas,0,Santiago,non
219,16 Aug 1972,Boeing 727-2B6,Royal Air Maroc - RAM,0,near Rabat,sub
220,16 Aug 1972,Douglas C-47B-20-DK (DC-3),Union of Burma Airways,28,S off Thandwe Airport (SNW),w/o
221,16 Aug 1972,Boeing 707-358C,El Al Israel Airlines,0,over Roma,min
222,18 Aug 1972,Fairchild F-27,Türk Hava Yollari - THY,0,Istanbul-Yesilköy Airport (IST),w/o
223,18 Aug 1972,Boeing 727,United Airlines,0,"Seattle/Tacoma International Airport, WA (SEA)",unk
224,20 Aug 1972,Douglas DC-3A-269,Zamrud Airlines,n/a,Sumbawa Besar,w/o
225,21 Aug 1972,Ford 4-AT-B Tri-Motor,Island Airlines,0,"Port Clinton, OH",sub
226,22 Aug 1972,Douglas DC-6,Alyemda,0,Benghazi-Benina International Airport (BEN),non
227,24 Aug 1972,Vickers 761D Viscount,Union of Burma Airways,0,Sittwe-Civil Airport (AKY),w/o
228,25 Aug 1972,Vickers 785D Viscount,Aerolíneas TAO,0,Camagüey Airport (CMW),non
229,26 Aug 1972,Fairchild C-123K Provider,Air America,8,near Pleiku Airport (PXU),w/o
230,26 Aug 1972,Ilyushin Il-18B,"Aeroflot, Northern Civil Aviation Directorate",0,Arkhangelsk Airport (ARH),w/o
231,27 Aug 1972,Fairchild C-123K Provider,Air America,9,near Vang Vieng,w/o
232,27 Aug 1972,Douglas C-47-DL (DC-3),Linea Aeropostal Venezolana - LAV,34,near Canaima Airport (CAJ),w/o
233,28 Aug 1972,Learjet 23,Vodavia,2,near Innsbruck-Kranebitten Airport (INN),w/o
234,28 Aug 1972,de Havilland Canada DHC-4A Caribou,Royal Australian Air Force - RAAF,25,Kudjero Gap,w/o
235,29 Aug 1972,Curtiss C-46A-55-CK Commando,Líneas Aéreas de Nicaragua - LANICA,0,Managua Airport (MGA),w/o
236,30 Aug 1972,Antonov An-2R,"Aeroflot, Yakutsk Civil Aviation Directorate",0,near Suntar,w/o
237,30 Aug 1972,Antonov An-2R,"Aeroflot, Moscow SPiMVL",2,near Perevitsy,w/o
238,31 Aug 1972,Ilyushin Il-18V,"Aeroflot, Kazakstan Civil Aviation Directorate",102,23 km N of Magnitogorsk Airport (MQF),dst
239,1 Sep 1972,Shorts SC.7 Skyvan 3-300,Ansett Airlines of Papua New Guinea,4,Mount Giluwe,dst
240,6 Sep 1972,de Havilland Canada U-1A Otter (DHC-3),Khmer Air Force,4,ca 32 km NE of Phnom Penh,w/o
241,7 Sep 1972,Curtiss C-46A-40-CU Commando,SAVCO - Servicios Aéreos Virgen de Copacabana,1,Trinidad Airport (TDD),w/o
242,8 Sep 1972,Douglas C-124C Globemaster II,United States Air Force - USAF,0,"Cape Newenham Airport, AK (EHM)",w/o
243,10 Sep 1972,Antonov An-2M,Aeroflot / Ukraine,2,Velikaya Vulyga,dst
244,10 Sep 1972,Douglas C-47-DL (DC-3),Ethiopian Airlines,11,near Gondar,w/o
245,11 Sep 1972,Lockheed 18 Learstar,Unknown,1,Clarendon,w/o
246,12 Sep 1972,Lockheed Hercules C.1 (C-130K),Royal Air Force - RAF,0,Tromsø/Langnes Airport (TOS),w/o
247,13 Sep 1972,Antonov An-2R,"Aeroflot, Kazakstan Civil Aviation Directorate",0,Semipalatinsk region,w/o
